candidate_agent,l4_coverage_count,auto_count,aug_count,hybrid_count,human_count,hybrid_human_ratio,positioning_type,funds_safety_gate_count,physical_execution_count
权益客户交付Agent,26,0,5,17,4,81%,决策支持/协同型,2,1
保司长尾合并Agent,25,4,6,8,7,60%,决策支持/协同型,0,0
权益服务执行Agent,24,0,17,7,0,29%,自动化执行型,0,4
理财师全周期Agent,20,6,6,6,2,40%,自动化执行型,1,3
佣金全链路管理Agent,18,4,10,4,0,22%,自动化执行型,2,0
经代机构全周期Agent,18,0,4,13,1,78%,决策支持/协同型,2,0
保司业务运营赋能Agent,16,4,4,5,3,50%,自动化执行型,2,2
人力资源长尾合并Agent,16,0,8,8,0,50%,自动化执行型,1,1
KA准入Agent,15,0,8,7,0,47%,自动化执行型,0,0
设计细分长尾合并Agent,15,0,3,11,1,80%,决策支持/协同型,0,0
保险授权确认Agent,13,3,3,3,4,54%,自动化执行型,0,0
保司数据回流Agent,13,6,4,3,0,23%,自动化执行型,0,0
任务管控与执行反馈Agent,12,5,4,1,2,25%,自动化执行型,1,0
产品上架Agent,12,5,6,1,0,8%,自动化执行型,0,0
KA赋能运维Agent,12,0,3,9,0,75%,决策支持/协同型,0,2
联合运营专项Agent,12,0,1,10,1,92%,决策支持/协同型,0,0
银行账户管理Agent,11,0,3,7,1,73%,决策支持/协同型,1,2
理财师分级绩效Agent,9,7,0,1,1,22%,自动化执行型,3,0
资金调度Agent,8,0,4,4,0,50%,自动化执行型,1,0
联合运营需求诊断Agent,8,0,2,6,0,75%,决策支持/协同型,0,0
权益上市推广Agent,8,3,4,1,0,12%,自动化执行型,1,0
保司资源整合Agent,7,1,4,1,1,29%,自动化执行型,0,1
细分市场判断与目标设计Agent,6,0,1,4,1,83%,决策支持/协同型,0,0
持续监控优化Agent,5,1,3,1,0,20%,自动化执行型,0,0
联合运营项目交付Agent,5,0,2,3,0,60%,决策支持/协同型,0,0
理财师业务分析Agent,4,1,1,2,0,50%,自动化执行型,0,0
运营设计验证Agent,4,0,0,3,1,100%,决策支持/协同型,0,0
服务寻源上架Agent,3,0,0,2,1,100%,决策支持/协同型,0,0
风险合规监控Agent,2,0,1,1,0,50%,样本量不足暂不判断,0,0
跨域长尾合并Agent,2,0,0,2,0,100%,样本量不足暂不判断,0,0
