from_period,to_period,metric_id,prior_value,current_value,absolute_change,growth_rate,rate_status,interpretation_status
2023Q1,2024Q1,NB_IND_TOTAL_SINGLE_PREMIUM,23132416,26959725,3827309,0.1654521948766614,calculated,descriptive_only
2023Q1,2024Q1,NB_IND_TOTAL_ANNUALIZED_PREMIUM,23775374,38179074,14403700,0.6058243289884735,calculated,descriptive_only
2023Q1,2024Q1,NB_GROUP_POLICIES,436,469,33,0.07568807339449535,calculated,descriptive_only
2023Q1,2024Q1,NB_GROUP_LIVES,29852,49193,19341,0.647896288355889,calculated,descriptive_only
2023Q1,2024Q1,NB_GROUP_SINGLE_PREMIUM,0,0,0,,both_zero_no_rate,no_rate
2023Q1,2024Q1,NB_GROUP_ANNUALIZED_PREMIUM,70980,140939,69959,0.9856156663848972,calculated,descriptive_only
2023Q1,2024Q1,IF_IND_TOTAL_POLICIES,15232380,15438598,206218,0.013538133896344506,calculated,descriptive_only
2023Q1,2024Q1,IF_IND_TOTAL_SUMS_ASSURED_OR_ANNUITIES,8841038675,9571700738,730662063,0.08264436904524675,calculated,descriptive_only
2023Q1,2024Q1,IF_IND_TOTAL_SINGLE_PREMIUM_RECEIVABLE,23278070,27456407,4178337,0.17949671085274677,calculated,descriptive_only
2023Q1,2024Q1,IF_IND_TOTAL_NON_SINGLE_PREMIUM_RECEIVABLE,93129957,108095569,14965612,0.16069600461643074,calculated,descriptive_only
2023Q1,2024Q1,IF_GROUP_NON_RETIREMENT_POLICIES,16786,16669,-117,-0.0069700941260574245,calculated,descriptive_only
2023Q1,2024Q1,IF_GROUP_NON_RETIREMENT_LIVES,1237309,1324028,86719,0.07008677702982835,calculated,descriptive_only
2023Q1,2024Q1,IF_GROUP_NON_RETIREMENT_SINGLE_PREMIUM_RECEIVABLE,0,0,0,,both_zero_no_rate,no_rate
2023Q1,2024Q1,IF_GROUP_NON_RETIREMENT_NON_SINGLE_PREMIUM_RECEIVABLE,1896846,1949174,52328,0.02758684679726242,calculated,descriptive_only
2023Q1,2024Q1,IF_RETIREMENT_SCHEMES,425644,366936,-58708,-0.13792746990442717,calculated,descriptive_only
2023Q1,2024Q1,IF_RETIREMENT_ENDING_FUND_BALANCE,126930317,112704120,-14226197,-0.11207879517073926,calculated,descriptive_only
2023Q1,2024Q1,IF_RETIREMENT_SINGLE_CONTRIBUTIONS,6238600,4908772,-1329828,-0.21316128618600327,calculated,descriptive_only
2023Q1,2024Q1,IF_RETIREMENT_NON_SINGLE_CONTRIBUTIONS,2014861,1861576,-153285,-0.07607720830369935,calculated,descriptive_only
2024Q1,2025Q1,NB_IND_TOTAL_SINGLE_PREMIUM,26959725,46854223.721791,19894498.721791,0.7379340375983434,calculated,descriptive_only
2024Q1,2025Q1,NB_IND_TOTAL_ANNUALIZED_PREMIUM,38179074,46460183.419127,8281109.419127002,0.2169017881137454,calculated,descriptive_only
2024Q1,2025Q1,NB_GROUP_POLICIES,469,472,3,0.006396588486140775,calculated,descriptive_only
2024Q1,2025Q1,NB_GROUP_LIVES,49193,201727,152534,3.1007257130079484,calculated,hold_for_outlier_context
2024Q1,2025Q1,NB_GROUP_SINGLE_PREMIUM,0,0,0,,both_zero_no_rate,no_rate
2024Q1,2025Q1,NB_GROUP_ANNUALIZED_PREMIUM,140939,99356.473328,-41582.52667200001,-0.2950391777435629,calculated,descriptive_only
2024Q1,2025Q1,IF_IND_TOTAL_POLICIES,15438598,15748256,309658,0.020057391221663945,calculated,descriptive_only
2024Q1,2025Q1,IF_IND_TOTAL_SUMS_ASSURED_OR_ANNUITIES,9571700738,9606609448.562096,34908710.56209564,0.003647075009721723,calculated,descriptive_only
2024Q1,2025Q1,IF_IND_TOTAL_SINGLE_PREMIUM_RECEIVABLE,27456407,47325527.803054,19869120.803053997,0.7236606305790119,calculated,descriptive_only
2024Q1,2025Q1,IF_IND_TOTAL_NON_SINGLE_PREMIUM_RECEIVABLE,108095569,127902066.242767,19806497.242767006,0.18323135190460027,calculated,descriptive_only
2024Q1,2025Q1,IF_GROUP_NON_RETIREMENT_POLICIES,16669,16175,-494,-0.029635850980862632,calculated,descriptive_only
2024Q1,2025Q1,IF_GROUP_NON_RETIREMENT_LIVES,1324028,1489810,165782,0.12521034298368305,calculated,descriptive_only
2024Q1,2025Q1,IF_GROUP_NON_RETIREMENT_SINGLE_PREMIUM_RECEIVABLE,0,0,0,,both_zero_no_rate,no_rate
2024Q1,2025Q1,IF_GROUP_NON_RETIREMENT_NON_SINGLE_PREMIUM_RECEIVABLE,1949174,2127748.18162,178574.18161999993,0.09161531070084039,calculated,descriptive_only
2024Q1,2025Q1,IF_RETIREMENT_SCHEMES,366936,355421,-11515,-0.0313814943205355,calculated,descriptive_only
2024Q1,2025Q1,IF_RETIREMENT_ENDING_FUND_BALANCE,112704120,124513123.60485,11809003.604849994,0.10477881025866664,calculated,descriptive_only
2024Q1,2025Q1,IF_RETIREMENT_SINGLE_CONTRIBUTIONS,4908772,9827336,4918564,1.0019947962545417,calculated,descriptive_only
2024Q1,2025Q1,IF_RETIREMENT_NON_SINGLE_CONTRIBUTIONS,1861576,1902258.75573,40682.75573000009,0.021853932221945316,calculated,descriptive_only
2025Q1,2026Q1,NB_IND_TOTAL_SINGLE_PREMIUM,46854223.721791,90464756.0226957,43610532.300904706,0.9307705653145264,calculated,descriptive_only
