source_abbreviated_name,canonical_key,period_start,period_end,bridge_class,comparison_action,evidence_status
FTLife,ENTITY_CTF_LIFE,2023Q1,2024Q1,same_legal_entity_name_change,map_to_canonical,official_company_release
CTF Life,ENTITY_CTF_LIFE,2025Q1,2026Q1,same_legal_entity_name_change,map_to_canonical,official_company_release
AXA China (Bermuda),ENTITY_AXA_CRI_HK,2023Q1,2025Q1,same_legal_entity_redomiciliation_and_name_change,map_to_canonical,official_company_and_IA_register
AXA CRI (HK),ENTITY_AXA_CRI_HK,2026Q1,2026Q1,same_legal_entity_redomiciliation_and_name_change,map_to_canonical,official_company_and_IA_register
AXA China (HK),ENTITY_AXA_CRI,2023Q1,2025Q1,abbreviation_change_only,map_to_canonical,exact_legal_name_match
AXA CRI,ENTITY_AXA_CRI,2026Q1,2026Q1,abbreviation_change_only,map_to_canonical,exact_legal_name_match
Chubb Life,LINEAGE_CHUBB_LIFE_HK,2023Q1,2024Q1,business_transfer,sum_with_lineage_peer_before_transfer,IA_annual_report
Chubb Life HK,LINEAGE_CHUBB_LIFE_HK,2023Q1,2026Q1,business_transfer,sum_with_lineage_peer_when_both_present,IA_annual_report
Canada Life Assurance,LINEAGE_CANADA_TO_MYPACE,2023Q1,2026Q1,business_transfer,sum_with_lineage_members,IA_workbook_note
MyPace Life,LINEAGE_CANADA_TO_MYPACE,2026Q1,2026Q1,business_transfer,sum_with_lineage_members,IA_workbook_note_and_register
