period,metric_id,value,unit,period_basis,comparability,source_sheet,source_range
2023Q1,NB_IND_TOTAL_SINGLE_PREMIUM,23132416,HKD_thousand,flow_during_period,comparable_with_schema_bridge,Table L1,M83
2023Q1,NB_IND_TOTAL_ANNUALIZED_PREMIUM,23775374,HKD_thousand,flow_during_period,comparable_with_schema_bridge,Table L1,N83
2023Q1,NB_GROUP_POLICIES,436,count,flow_during_period,directly_comparable_by_label,Table L2,C79
2023Q1,NB_GROUP_LIVES,29852,count,flow_during_period,directly_comparable_by_label_with_outlier_review,Table L2,D79
2023Q1,NB_GROUP_SINGLE_PREMIUM,0,HKD_thousand,flow_during_period,directly_comparable_by_label,Table L2,E79
2023Q1,NB_GROUP_ANNUALIZED_PREMIUM,70980,HKD_thousand,flow_during_period,directly_comparable_by_label,Table L2,F79
2023Q1,IF_IND_TOTAL_POLICIES,15232380,count,stock_at_period_end,comparable_with_schema_bridge,Table L3-2,F81
2023Q1,IF_IND_TOTAL_SUMS_ASSURED_OR_ANNUITIES,8841038675,HKD_thousand,stock_at_period_end,comparable_with_schema_bridge,Table L3-2,G81
2023Q1,IF_IND_TOTAL_SINGLE_PREMIUM_RECEIVABLE,23278070,HKD_thousand,flow_during_period,comparable_with_schema_bridge,Table L3-2,H81
2023Q1,IF_IND_TOTAL_NON_SINGLE_PREMIUM_RECEIVABLE,93129957,HKD_thousand,flow_during_period,comparable_with_schema_bridge,Table L3-2,I81
2023Q1,IF_GROUP_NON_RETIREMENT_POLICIES,16786,count,stock_at_period_end,directly_comparable_by_label,Table L4,C82
2023Q1,IF_GROUP_NON_RETIREMENT_LIVES,1237309,count,stock_at_period_end,directly_comparable_by_label,Table L4,D82
2023Q1,IF_GROUP_NON_RETIREMENT_SINGLE_PREMIUM_RECEIVABLE,0,HKD_thousand,flow_during_period,directly_comparable_by_label,Table L4,E82
