company_2024_name,company_2025_name,premium_2024_hkd_thousand,premium_2025_L1_total_hkd_thousand
AIA International,AIA International,10677251.0,24285901.0
AXA China (Bermuda),AXA China (Bermuda),1046595.0,3210505.0
AXA Wealth Mgt (HK),AXA Wealth Mgt (HK),3284.0,3286.0
Blue,Blue,233554.0,26030.0
BOC LIFE,BOC LIFE,94852.0,224782.0
China Life,China Life,3271777.0,1024782.0
TPLHK,TPLHK,10720.0,1444268.0
CTF Life,CTF Life,1332314.0,3166395.0
Chubb Life HK,Chubb Life HK,115741.0,1764509.0
FWD Life (Bermuda),FWD Life (Bermuda),12518638.0,21013450.0
Hang Seng Insurance,Hang Seng Insurance,22147387.0,28731149.0
Heng An Standard Life Asia,Heng An Standard Life Asia,490412.0,726225.0
Hong Kong Life,Hong Kong Life,126870.0,437264.0
HSBC Life,HSBC Life,15050539.0,20925747.0
Manulife (Int'l),Manulife (Int'l),11314905.0,18427205.0
Prudential (HK) Life,Prudential (HK) Life,3089790.053196999,6250618.76323749
SJPI(HK)L,SJPI(HK)L,245416.0,331990.0
Sun Life Hong Kong,Sun Life Hong Kong,3175249.0,10165038.0
Utmost International Isle of Man,Utmost International Isle of Man,487611.0,133497.0
Well Link Life,Well Link Life,3863877.0,9688893.0
YF LIFE,YF LIFE,296396.0,295716.0
Zurich Life Insurance (Hong Kong),Zurich Life Insurance (Hong Kong),265716.0,805414.0
