source_2024,source_2025,entity_key,bridge_type,premium_2024_hkd_thousand,premium_2025_hkd_thousand,record_status_2024,record_status_2025,evidence
AIA International,AIA International,ENTITY_AIA_INTERNATIONAL,same_name,10677251.0,24285901.0,reported_value,reported_value,standard_layer_entity_key
AXA China (Bermuda),AXA CRI (HK),ENTITY_AXA_CRI_HK,rename_or_alias,1046595.0,3210505.0,reported_value,reported_value,standard_layer_entity_key
AXA Wealth Mgt (HK),AXA Wealth Mgt (HK),ENTITY_AXA_WEALTH_MGT_HK,same_name,3284.0,3286.0,reported_value,reported_value,standard_layer_entity_key
Blue,Blue,ENTITY_BLUE,same_name,233554.0,26030.0,reported_value,reported_value,standard_layer_entity_key
BOC LIFE,BOC LIFE,ENTITY_BOC_LIFE,same_name,94852.0,224782.0,reported_value,reported_value,standard_layer_entity_key
China Life,China Life,ENTITY_CHINA_LIFE,same_name,3271777.0,1024782.0,reported_value,reported_value,standard_layer_entity_key
TPLHK,TPLHK,ENTITY_TPLHK,same_name,10720.0,1444268.0,reported_value,reported_value,standard_layer_entity_key
CTF Life,CTF Life,ENTITY_CTF_LIFE,same_name,1332314.0,3166395.0,reported_value,reported_value,standard_layer_entity_key
Chubb Life HK,Chubb Life HK,ENTITY_CHUBB_LIFE_HK,same_name,115741.0,1764509.0,reported_value,reported_value,standard_layer_entity_key
FWD Life (Bermuda),FWD Life (Bermuda),ENTITY_FWD_LIFE_BERMUDA,same_name,12518638.0,21013450.0,reported_value,reported_value,standard_layer_entity_key
Hang Seng Insurance,Hang Seng Insurance,ENTITY_HANG_SENG_INSURANCE,same_name,22147387.0,28731149.0,reported_value,reported_value,standard_layer_entity_key
Heng An Standard Life Asia,Heng An Standard Life Asia,ENTITY_HENG_AN_STANDARD_LIFE_ASIA,same_name,490412.0,726225.0,reported_value,reported_value,standard_layer_entity_key
Hong Kong Life,Hong Kong Life,ENTITY_HONG_KONG_LIFE,same_name,126870.0,437264.0,reported_value,reported_value,standard_layer_entity_key
HSBC Life,HSBC Life,ENTITY_HSBC_LIFE,same_name,15050539.0,20925747.0,reported_value,reported_value,standard_layer_entity_key
Manulife (Int'l),Manulife (Int'l),ENTITY_MANULIFE_INT_L,same_name,11314905.0,18427205.0,reported_value,reported_value,standard_layer_entity_key
Prudential (HK) Life,Prudential (HK) Life,ENTITY_PRUDENTIAL_HK_LIFE,same_name,3089790.053196999,6250618.76323749,reported_value,reported_value,standard_layer_entity_key
SJPI(HK)L,SJPI(HK)L,ENTITY_SJPI_HK_L,same_name,245416.0,331990.0,reported_value,reported_value,standard_layer_entity_key
Sun Life Hong Kong,Sun Life Hong Kong,ENTITY_SUN_LIFE_HONG_KONG,same_name,3175249.0,10165038.0,reported_value,reported_value,standard_layer_entity_key
Utmost International Isle of Man,Utmost International Isle of Man,ENTITY_UTMOST_INTERNATIONAL_ISLE_OF_MAN,same_name,487611.0,133497.0,reported_value,reported_value,standard_layer_entity_key
Well Link Life,Well Link Life,ENTITY_WELL_LINK_LIFE,same_name,3863877.0,9688893.0,reported_value,reported_value,standard_layer_entity_key
YF LIFE,YF LIFE,ENTITY_YF_LIFE,same_name,296396.0,295716.0,reported_value,reported_value,standard_layer_entity_key
Zurich Life Insurance (Hong Kong),Zurich Life Insurance (Hong Kong),ENTITY_ZURICH_LIFE_INSURANCE_HONG_KONG,same_name,265716.0,805414.0,reported_value,reported_value,standard_layer_entity_key
