company,premium_2024,premium_2025,exclusion_reason
AIA (HK),0.0,0.0,双边0值
AIA Everest,0.0,0.0,双边0值
American Family Life,0.0,0.0,双边0值
Asia Insurance,0.0,0.0,双边0值
Generali,0.0,0.0,双边0值
AXA China (HK),0.0,0.0,双边0值
AXA Life,0.0,0.0,双边0值
Bowtie Life,0.0,0.0,双边0值
Canada Life Assurance,0.0,0.0,双边0值
CPIC Life (HK),0.0,16413.0,2025新增(2024 L16无)
Desjardins Financial Security,0.0,0.0,双边0值
Friends Provident Int'l,0.0,0.0,双边0值
Fubon Life Hong Kong,0.0,14697.094,2025新增(2024 L16无)
FWD Life (HK),0.0,0.0,双边0值
FWD Life Assurance,0.0,0.0,双边0值
Generali Life (HK),0.0,0.0,双边0值
HKMC Annuity,0.0,8892490.0,2025新增(2024 L16无)
HSBC Insurance,0.0,0.0,双边0值
Liberty Int'l,0.0,0.0,双边0值
Manufacturers Life,0.0,0.0,双边0值
Massachusetts Mutual,0.0,0.0,双边0值
Pacific Life,0.0,0.0,双边0值
PLL,0.0,0.0,双边0值
Principal,0.0,0.0,双边0值
Prudential (America),0.0,0.0,双边0值
RL360°,0.0,0.0,双边0值
RL360 Services,0.0,0.0,双边0值
SCOTTISH WIDOWS LIMITED,0.0,0.0,双边0值
Sincere Life,0.0,0.0,双边0值
TLIC,0.0,0.0,双边0值
Transamerica Life (Bermuda),12108.0,0.0,2024值>0但在2025为0/未纳入可比
Utmost Worldwide,0.0,0.0,双边0值
ZA Insure,355976.37,0.0,2024值>0但在2025为0/未纳入可比
Zurich Assurance,0.0,0.0,双边0值
Zurich International,0.0,0.0,双边0值
China Re HK,0,0.0,双边0值
FuSure Re,0,0.0,双边0值
GenRe,0,0.0,双边0值
Hannover Re,0,0.0,双边0值
Munich Re,0,0.0,双边0值
PartnerRe Europe,0,0.0,双边0值
Peak Re,0,0.0,双边0值
RGA Re,0,0.0,双边0值
SCOR Re,0,0.0,双边0值
Swiss Re (Asia),0,0.0,双边0值
TPRe,0,0.0,双边0值
