source_2024,source_2025,entity_key,record_status_2024,record_status_2025,premium_2024_hkd_thousand,premium_2025_hkd_thousand,exclusion_reason
AIA (HK),AIA (HK),ENTITY_AIA_(HK),reported_zero,reported_zero,0.0,0.0,2024_excluded
AIA Everest,AIA Everest,ENTITY_AIA_EVEREST,reported_zero,reported_zero,0.0,0.0,2024_excluded
American Family Life,American Family Life,ENTITY_AMERICAN_FAMILY_LIFE,reported_zero,reported_zero,0.0,0.0,2024_excluded
Asia Insurance,Asia Insurance,ENTITY_ASIA_INSURANCE,reported_zero,reported_zero,0.0,0.0,2024_excluded
Generali,Generali,ENTITY_GENERALI,reported_zero,reported_zero,0.0,0.0,2024_excluded
AXA China (HK),AXA CRI,ENTITY_AXA_CRI,reported_zero,reported_zero,0.0,0.0,2024_excluded
AXA Life,AXA Life,ENTITY_AXA_LIFE,reported_zero,reported_zero,0.0,0.0,2024_excluded
Bowtie Life,Bowtie Life,ENTITY_BOWTIE_LIFE,reported_zero,reported_zero,0.0,0.0,2024_excluded
Canada Life Assurance,Canada Life Assurance,ENTITY_CANADA_LIFE_ASSURANCE,reported_zero,reported_zero,0.0,0.0,2024_excluded
CPIC Life (HK),CPIC Life (HK),ENTITY_CPIC_LIFE_(HK),reported_zero,reported_value,0.0,16413.0,2024_excluded
Desjardins Financial Security,Desjardins Financial Security,ENTITY_DESJARDINS_FINANCIAL_SECURITY,reported_zero,reported_zero,0.0,0.0,2024_excluded
Friends Provident Int'l,Friends Provident Int'l,ENTITY_FRIENDS_PROVIDENT_INTL,reported_zero,reported_zero,0.0,0.0,2024_excluded
Fubon Life Hong Kong,Fubon Life Hong Kong,ENTITY_FUBON_LIFE_HONG_KONG,reported_zero,reported_value,0.0,14697.094,2024_excluded
FWD Life (HK),FWD Life (HK),ENTITY_FWD_LIFE_(HK),reported_zero,reported_zero,0.0,0.0,2024_excluded
FWD Life Assurance,FWD Life Assurance,ENTITY_FWD_LIFE_ASSURANCE,reported_zero,reported_zero,0.0,0.0,2024_excluded
Generali Life (HK),Generali Life (HK),ENTITY_GENERALI_LIFE_(HK),reported_zero,reported_zero,0.0,0.0,2024_excluded
HKMC Annuity,HKMC Annuity,ENTITY_HKMC_ANNUITY,reported_zero,reported_value,0.0,8892490.0,2024_excluded
HSBC Insurance,HSBC Insurance,ENTITY_HSBC_INSURANCE,reported_zero,reported_zero,0.0,0.0,2024_excluded
Liberty Int'l,Liberty Int'l,ENTITY_LIBERTY_INTL,reported_zero,reported_zero,0.0,0.0,2024_excluded
Manufacturers Life,Manufacturers Life,ENTITY_MANUFACTURERS_LIFE,reported_zero,reported_zero,0.0,0.0,2024_excluded
Massachusetts Mutual,Massachusetts Mutual,ENTITY_MASSACHUSETTS_MUTUAL,reported_zero,reported_zero,0.0,0.0,2024_excluded
Pacific Life,Pacific Life,ENTITY_PACIFIC_LIFE,reported_zero,reported_zero,0.0,0.0,2024_excluded
PLL,PLL,ENTITY_PLL,reported_zero,reported_zero,0.0,0.0,2024_excluded
Principal,Principal,ENTITY_PRINCIPAL,reported_zero,reported_zero,0.0,0.0,2024_excluded
Prudential (America),Prudential (America),ENTITY_PRUDENTIAL_(AMERICA),reported_zero,reported_zero,0.0,0.0,2024_excluded
RL360°,RL360°,ENTITY_RL360°,reported_zero,reported_zero,0.0,0.0,2024_excluded
RL360 Services,RL360 Services,ENTITY_RL360_SERVICES,reported_zero,reported_zero,0.0,0.0,2024_excluded
SCOTTISH WIDOWS LIMITED,SCOTTISH WIDOWS LIMITED,ENTITY_SCOTTISH_WIDOWS_LIMITED,reported_zero,reported_zero,0.0,0.0,2024_excluded
Sincere Life,Sincere Life,ENTITY_SINCERE_LIFE,reported_zero,reported_zero,0.0,0.0,2024_excluded
TLIC,TLIC,ENTITY_TLIC,reported_zero,reported_zero,0.0,0.0,2024_excluded
Transamerica Life (Bermuda),Transamerica Life (Bermuda),ENTITY_TRANSAMERICA_LIFE_(BERMUDA),reported_value,reported_zero,12108.0,0.0,2024_excluded
Utmost Worldwide,Utmost Worldwide,ENTITY_UTMOST_WORLDWIDE,reported_zero,reported_zero,0.0,0.0,2024_excluded
ZA Insure,ZA Insure,ENTITY_ZA_INSURE,reported_value,reported_zero,355976.37,0.0,2024_excluded
Zurich Assurance,Zurich Assurance,ENTITY_ZURICH_ASSURANCE,reported_zero,reported_zero,0.0,0.0,2024_excluded
Zurich International,Zurich International,ENTITY_ZURICH_INTERNATIONAL,reported_zero,reported_zero,0.0,0.0,2024_excluded
,China Re HK,ENTITY_CHINA_RE_HK,missing,reported_zero,,0.0,2025_only
,FuSure Re,ENTITY_FUSURE_RE,missing,reported_zero,,0.0,2025_only
,GenRe,ENTITY_GENRE,missing,reported_zero,,0.0,2025_only
,Hannover Re,ENTITY_HANNOVER_RE,missing,reported_zero,,0.0,2025_only
,Munich Re,ENTITY_MUNICH_RE,missing,reported_zero,,0.0,2025_only
,PartnerRe Europe,ENTITY_PARTNERRE_EUROPE,missing,reported_zero,,0.0,2025_only
,Peak Re,ENTITY_PEAK_RE,missing,reported_zero,,0.0,2025_only
,RGA Re,ENTITY_RGA_RE,missing,reported_zero,,0.0,2025_only
,SCOR Re,ENTITY_SCOR_RE,missing,reported_zero,,0.0,2025_only
,Swiss Re (Asia),ENTITY_SWISS_RE_(ASIA),missing,reported_zero,,0.0,2025_only
,TPRe,ENTITY_TPRE,missing,reported_zero,,0.0,2025_only
