年月,件数,APE,年总保费(HKD),件均APE,环比增长%,同比增长%
2025-01,69,22560612.856000002,23332812.856000002,326965.403710145,,
2025-02,119,38907760.42800001,87486160.428,326955.9699831934,0.7245879212741546,
2025-03,114,34295208.246,34295208.246,300835.1600526316,-0.1185509556772274,
2025-04,74,29108645.592000004,88568045.592,393360.0755675676,-0.15123286660913993,
2025-05,136,45504949.478,46301684.378,334595.21675,0.5632795189380515,
2025-06,436,178786707.2,203850318.5,410061.25504587154,2.928950789989052,
2025-07,88,41339770.2,105081370.2,469770.11590909096,-0.7687760413096304,
2025-08,149,61722577.422,110734532.62200001,414245.48605369125,0.4930556489160163,
2025-09,375,144649082.546,182113418.546,385730.88678933337,1.3435360055855705,
2025-10,98,79922700.2402,342269890.262,815537.7575530612,-0.44747177905685165,
2025-11,235,185478032.79999998,1381876204.6,789268.224680851,1.3207177966030121,
2025-12,282,141879661.43,453800157.03999996,503119.3667730497,-0.23505948770230856,
2026-01,132,53902782.489999995,110568222.49000001,408354.4128030303,-0.6200809760418386,1.3892428292640346
2026-02,110,56367833.8,72513833.8,512434.8527272727,0.045731429735697215,0.448755548505815
2026-03,216,81478672.81,135325582.81,377216.0778240741,0.445481710350913,1.3758034132801402
2026-04,173,67377586.4,133814045.06,389465.81734104047,-0.17306475331136406,1.314693282002703
2026-05,223,81866820.71000001,144867810.71,367115.7879372198,0.215045315277129,0.7990750819222348
2026-06,231,84354184.86,139796319.66,365169.6314285714,0.030383055411557613,-0.5281853657854044
2026-07,214,84180830.03999999,125608665.84,393368.36467289715,-0.0020550826291276802,1.036315868054825
