年月,件数,APE,年总保费(HKD),件均APE,环比增长%,同比增长%
2025-01,70,25095612.856,25867812.856,358508.7550857143,,
2025-02,116,37816349.328,86394749.32800001,326003.0114482759,0.5068908476151703,
2025-03,122,36049619.346,36049619.346,295488.68316393445,-0.04671868155956227,
2025-04,64,21145859.28,48594059.28,330404.05125,-0.41342350727633115,
2025-05,105,39550538.55,40347273.449999996,376671.7957142857,0.8703680009545582,
2025-06,476,188679104.44,213742715.74,396384.6731932773,3.770582433447041,
2025-07,73,34340170.2,98081770.2,470413.2904109589,-0.8179969620805563,
2025-08,155,66976794.822,115988750.02199998,432108.35369032255,0.9503920461640576,
2025-09,367,145046038.64,173384374.64,395220.81373297,1.1656163007722258,
2025-10,108,80154089.3062,351627279.328,742167.4935759259,-0.4473886356514699,
2025-11,218,176229160.04,1311222760.04,808390.6423853211,1.1986296839675838,
2025-12,302,147561562.43,477958347.04,488614.4451324504,-0.16267227060205636,
2026-01,114,47898591.66,140472314.45999998,420163.0847368421,-0.6753992647460476,0.9086440301276857
2026-02,121,61126233.83,77272233.83,505175.4861983471,0.2761593130732145,0.616397005956915
2026-03,212,82149259.21000001,143016169.21,387496.5057075472,0.3439280332314891,1.2787829857935833
2026-04,162,62101725.6,128538184.26,383343.9851851852,-0.2440379110267087,1.936826769614254
2026-05,225,86136980.71000001,145627970.70999998,382831.0253777778,0.38703039050496213,1.177896531070119
2026-06,239,85694611.25999999,144646746.06,358554.85882845183,-0.005135650754805932,-0.545818221289836
2026-07,176,69852169.64,108472005.44,396887.3275,-0.18487091996874283,1.0341241535255987
