年月,件数,APE,年总保费(HKD),件均APE,环比增长%,同比增长%
2025-01,120,41402627.944000006,41472827.944000006,345021.8995333334,,
2025-02,67,21652058.536,22354058.536,323165.0527761194,-0.47703661310373957,
2025-03,116,35513883.872,49553883.871999994,306154.1713103448,0.6402081960453094,
2025-04,88,27540229.781999998,93738829.782,312957.15661363635,-0.22452216487328847,
2025-05,70,28622463.148000002,33887463.148,408892.3306857143,0.0392964537538949,
2025-06,166,77238088.744,100218023.644,465289.6912289157,1.6985129946580795,
2025-07,273,102660083.574,151234531.314,376044.2621758242,0.32913806184743044,
2025-08,103,44929512.066,46074881.225999996,436208.8550097087,-0.5623468197002425,
2025-09,135,61434789.844,118858389.84400001,455072.51736296294,0.3673593818191099,
2025-10,268,93420117.1746,107708575.12200001,348582.5267708955,0.5206386708869624,
2025-11,118,38745746.419599995,77187278.49399999,328353.7832169491,-0.5852526458815599,
2025-12,121,43681497.49,43681497.49,361004.11148760334,0.1273882045514858,
2026-01,203,116781478.92000002,171839268.72,575278.2212807883,1.6734770012574498,1.8206296247174274
2026-02,180,143730289.67999998,892315915.49,798501.6093333332,0.23076271176922636,5.6381812815176655
2026-03,143,85756138.71000001,543716368.71,599693.2776923077,-0.4033537474882516,1.4147214936863666
2026-04,192,91151383.36,307893883.36,474746.78833333333,0.06291380105446431,2.3097539156908407
2026-05,163,72813178.43,244619837.09,446706.61613496934,-0.20118405507433423,1.5439172741178928
2026-06,171,61896543.42,96406863.41999999,361968.0901754386,-0.14992663753162305,-0.19862668242411374
2026-07,153,46810255.81,85219834.81,305949.384379085,-0.2437339272345428,-0.5440267124246204
