保单状态,统计说明,件数,APE,年总保费(HKD),件数占比,APE占比,年总保费占比
A.批核(2026),status=生效+issue_year=2026,1205,618939268.33,2342011971.6000004,0.7452071737786023,0.7767286408828225,0.8719881813249625
B.排期,status=排期,55,20033148.4,22841148.4,0.034013605442176874,0.025140302006237528,0.008504316670543176
C.已签单,status=已签单,34,15563822.4,26832264.0,0.021026592455163882,0.01953158773123473,0.009990306356208234
D.待批核,status=待批核,72,27512375.09,36159330.29,0.04452690166975881,0.034526246442196096,0.01346300063358127
E.pending,status=pending,66,37857234.980000004,46632234.980000004,0.04081632653061224,0.04750837469552712,0.01736231849555781
F.尚欠保费,status=尚欠保费,88,42780708.0,168445728.0,0.05442176870748299,0.05368701402724406,0.06271645311459828
G.失效,status=失效+sign_year=2026,0,0.0,0.0,0.0,0.0,0.0
H.退保,status=退保+sign_year=2026,15,3849697.2,3849697.2,0.00927643784786642,0.0048311203165932225,0.0014333361659916973
I.取消投保,status=取消投保+sign_year=2026,81,30100677.41,38840577.41,0.05009276437847866,0.037774397991267895,0.014461294334981235
J.搁置受保,status=搁置受保+sign_year=2026,1,216996.0,216996.0,0.0006184291898577613,0.00027231590687690004,8.079290357577587e-05
合计,,1617,796853927.8100001,2685829947.8800006,1.0,1.0,1.0
