KEY ACCOUNT,业务细分,2026批核APE,批核件数,未批核APE,未批核件数,待签APE,待签件数
民生银行,BK业务,189473760.06,174,17698200.0,24,1560000.0,3
天誉国际,同行经代,44347079.86,96,10769328.0,26,3203910.0,8
平安银行,BK业务,41661360.0,27,10920000.0,14,780000.0,1
唯思,同行经代,39776549.96,123,6863035.28,14,3352000.0,5
紫荆保险,永明经代,35490946.74000001,102,4965600.0,11,1404000.0,3
天领重庆,天领业务,29662024.540000003,108,3393000.0,12,501415.2,5
堡盛国际,永明经代,28216600.0,75,1628400.0,5,0.0,0
利泰丰,同行经代,27818456.319999997,9,1010724.0,4,0.0,0
万森保险,永明经代,25918064.4,79,3018000.0,5,156000.0,1
天誉国际(MGA),MGA业务,22040525.740000002,91,39142184.84,91,6236700.0,19
企鹅保险,永明经代,18857040.0,68,1520400.0,6,279556.2,3
个人转介,ICLUB业务,18757270.919999998,14,0.0,0,0.0,0
天领深圳,天领业务,16555500.0,10,390000.0,1,0.0,0
宏鑫资产,永明经代,12480000.0,3,0.0,0,0.0,0
天领成都,天领业务,10711647.66,41,4000000.0,2,0.0,0
中天家办,永明经代,8454168.3,22,4935160.65,12,0.0,0
万城保险,永明经代,8346600.0,12,1269052.2,5,1443000.0,2
臻略财富,永明经代,4473060.0,15,1836600.0,4,490200.0,2
宁波贴牌,天领业务,3939000.0,9,3003000.0,3,0.0,0
广西贴牌,天领业务,3324400.0,14,218400.0,2,0.0,0
合计,,590304054.5,1092,116581084.97,241,19406781.4,52
