合作伙伴(分行),2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,合计
民生广州分行,780000.0,23790000.0,4680000.0,4680000.0,9379560.06,780000.0,0.0,0.0,44089560.06
民生南京分行,2379000.0,18642000.0,780000.0,13026000.0,2028000.0,234000.0,390000.0,0.0,37479000.0
民生上海分行,4336800.0,7800000.0,13650000.0,2340000.0,780000.0,780000.0,390000.0,0.0,30076800.0
民生深圳分行,0.0,15600000.0,3120000.0,156000.0,0.0,0.0,0.0,0.0,18876000.0
民生北京分行,1404000.0,7800000.0,7004400.0,1170000.0,0.0,0.0,0.0,0.0,17378400.0
平安香港分行徐艳,5460000.0,4680000.0,0.0,0.0,2730000.0,1170000.0,1560000.0,0.0,15600000.0
平安香港分行许菁,0.0,1950000.0,9360000.0,780000.0,0.0,780000.0,0.0,0.0,12870000.0
民生重庆分行,1170000.0,780000.0,3510000.0,2730000.0,1560000.0,390000.0,0.0,0.0,10140000.0
民生杭州分行,0.0,1170000.0,5850000.0,0.0,0.0,0.0,0.0,0.0,7020000.0
平安香港分行钟丽丽,0.0,2134080.0,4817280.0,0.0,0.0,0.0,0.0,0.0,6951360.0
民生香港分行梁驹团队,0.0,1404000.0,780000.0,0.0,780000.0,390000.0,2340000.0,0.0,5694000.0
平安香港分行高凯,0.0,0.0,0.0,780000.0,3120000.0,0.0,0.0,0.0,3900000.0
民生嘉兴分行,0.0,1560000.0,1560000.0,0.0,0.0,0.0,0.0,0.0,3120000.0
民生温州分行,780000.0,1560000.0,468000.0,0.0,0.0,0.0,0.0,0.0,2808000.0
民生合肥分行,1560000.0,0.0,0.0,0.0,0.0,624000.0,390000.0,0.0,2574000.0
民生武汉分行,0.0,1560000.0,0.0,780000.0,0.0,0.0,0.0,0.0,2340000.0
民生贵阳分行,390000.0,0.0,1560000.0,0.0,0.0,0.0,0.0,0.0,1950000.0
民生沈阳分行,0.0,1560000.0,0.0,0.0,0.0,0.0,0.0,0.0,1560000.0
民生厦门分行,0.0,0.0,1560000.0,0.0,0.0,0.0,0.0,0.0,1560000.0
民生泉州分行,0.0,1560000.0,0.0,0.0,0.0,0.0,0.0,0.0,1560000.0
平安香港分行朱慧娟,0.0,390000.0,0.0,0.0,780000.0,0.0,0.0,0.0,1170000.0
民生上海分行张江支行,0.0,0.0,0.0,780000.0,0.0,0.0,0.0,0.0,780000.0
平安香港分行王慧娟,0.0,0.0,0.0,0.0,0.0,780000.0,0.0,0.0,780000.0
平安香港分行高原,0.0,0.0,0.0,0.0,390000.0,0.0,0.0,0.0,390000.0
民生呼和浩特分行,0.0,0.0,0.0,0.0,0.0,312000.0,0.0,0.0,312000.0
民生昆明分行,0.0,0.0,0.0,0.0,156000.0,0.0,0.0,0.0,156000.0
民生北京,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
民生南京,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
民生深圳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
民生杭州,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
民生上海,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
民生香港,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
民生合肥,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
民生广州,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
民生沈阳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
民生郑州,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
民生温州,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
民生福州,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
民生贵阳,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
民生重庆,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
平安香港,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
广发香港,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
民生武汉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
民生天津,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
民生宁波,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
民生石家庄,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
民生郑州分行,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
平安香港分行王蕊,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
合计,18259800.0,93940080.0,58699680.0,27222000.0,21703560.060000002,6240000.0,5070000.0,0.0,231135120.06
