合作伙伴(分行),2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,合计
民生广州分行,1,11,6,3,3,1,0,0,25
民生南京分行,5,16,1,13,3,1,1,0,40
民生上海分行,8,7,9,4,1,2,1,0,32
民生深圳分行,0,10,2,1,0,0,0,0,13
民生北京分行,4,7,7,2,0,0,0,0,20
平安香港分行徐艳,2,1,0,0,2,1,3,0,9
平安香港分行许菁,0,3,3,1,0,2,0,0,9
民生重庆分行,2,1,3,3,1,1,0,0,11
民生杭州分行,0,2,4,0,0,0,0,0,6
平安香港分行钟丽丽,0,1,2,0,0,0,0,0,3
民生香港分行梁驹团队,0,2,1,0,2,1,2,0,8
平安香港分行高凯,0,0,0,1,1,0,0,0,2
民生嘉兴分行,0,1,1,0,0,0,0,0,2
民生温州分行,1,1,1,0,0,0,0,0,3
民生合肥分行,1,0,0,0,0,1,1,0,3
民生武汉分行,0,1,0,1,0,0,0,0,2
民生贵阳分行,1,0,1,0,0,0,0,0,2
民生沈阳分行,0,1,0,0,0,0,0,0,1
民生厦门分行,0,0,1,0,0,0,0,0,1
民生泉州分行,0,1,0,0,0,0,0,0,1
平安香港分行朱慧娟,0,1,0,0,1,0,0,0,2
民生上海分行张江支行,0,0,0,1,0,0,0,0,1
平安香港分行王慧娟,0,0,0,0,0,1,0,0,1
平安香港分行高原,0,0,0,0,1,0,0,0,1
民生呼和浩特分行,0,0,0,0,0,2,0,0,2
民生昆明分行,0,0,0,0,1,0,0,0,1
民生北京,0,0,0,0,0,0,0,0,0
民生南京,0,0,0,0,0,0,0,0,0
民生深圳,0,0,0,0,0,0,0,0,0
民生杭州,0,0,0,0,0,0,0,0,0
民生上海,0,0,0,0,0,0,0,0,0
民生香港,0,0,0,0,0,0,0,0,0
民生合肥,0,0,0,0,0,0,0,0,0
民生广州,0,0,0,0,0,0,0,0,0
民生沈阳,0,0,0,0,0,0,0,0,0
民生郑州,0,0,0,0,0,0,0,0,0
民生温州,0,0,0,0,0,0,0,0,0
民生福州,0,0,0,0,0,0,0,0,0
民生贵阳,0,0,0,0,0,0,0,0,0
民生重庆,0,0,0,0,0,0,0,0,0
平安香港,0,0,0,0,0,0,0,0,0
广发香港,0,0,0,0,0,0,0,0,0
民生武汉,0,0,0,0,0,0,0,0,0
民生天津,0,0,0,0,0,0,0,0,0
民生宁波,0,0,0,0,0,0,0,0,0
民生石家庄,0,0,0,0,0,0,0,0,0
民生郑州分行,0,0,0,0,0,0,0,0,0
平安香港分行王蕊,0,0,0,0,0,0,0,0,0
合计,25,67,42,30,16,13,8,0,201
