KEY ACCOUNT,2026W01,2026W02,2026W03,2026W04,2026W05,2026W06,2026W07,2026W08,2026W09,2026W10,2026W11,2026W12,2026W13,2026W14,2026W15,2026W16,2026W17,2026W18,2026W19,2026W20,2026W21,2026W22,2026W23,2026W24,2026W25,2026W26,2026W27,2026W28,2026W29,合计
天誉国际(MGA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,936000.0,483990.0,78000.0,351000.0,948472.2000000001,117000.0,546000.0,2724696.0,3056550.0,110278.74,663000.0,2818000.0,1071330.0,6630780.0,1296750.0,3422835.0,2535000.0,3423000.0,6459900.0,6012996.0,10325632.64,13408200.0,67419410.58
天誉国际,0.0,0.0,0.0,0.0,0.0,604200.0,1170000.0,0.0,429000.0,901490.46,3300000.0,3078600.0,1193940.0,117000.0,711000.0,9786590.0,1707400.0,4004700.0,2623000.0,2965260.0,2706000.0,1399200.0,3588000.0,4869600.0,2095499.4,2702988.0,1723800.0,1537050.0,5106000.0,58320317.86
唯思,234000.0,952504.8,3975000.0,916500.0,780000.0,569400.0,312000.0,549600.0,351000.0,977000.0,608400.0,2215200.0,0.0,1286364.3,1436518.2,1443000.0,351000.0,456000.0,621223.98,1029600.0,1374000.0,2138640.08,2856000.0,1950000.0,1506000.0,803560.8,629400.0,731234.4,4132000.0,35185146.56
紫荆保险,78000.0,1902600.0,975000.0,1209000.0,2486400.0,1896000.0,234000.0,858000.0,0.0,2394600.0,2976000.0,998940.0,858000.0,2184000.0,570000.0,2651040.0,0.0,3607500.0,811980.0,741000.0,1239300.0,1008000.0,78000.0,185526.12,390000.0,0.0,117000.0,390000.0,2028000.0,32867886.12
万森保险,0.0,406255.2,165300.0,753000.0,1491000.0,234000.0,0.0,3588000.0,234000.0,1982700.0,590340.0,2535000.0,314700.0,1473000.0,585000.0,278100.0,171000.0,23400.0,507000.0,1990669.2,780000.0,456000.0,1482000.0,351000.0,1416000.0,1692000.0,624000.0,0.0,156000.0,24279464.4
堡盛国际,2044000.0,1602900.0,1716000.0,273000.0,0.0,273000.0,0.0,273000.0,1014000.0,1935600.0,1377000.0,570000.0,285000.0,0.0,234000.0,0.0,0.0,0.0,0.0,1740000.0,1092000.0,763800.0,1072500.0,1428000.0,858000.0,234000.0,285000.0,0.0,0.0,19070800.0
企鹅保险,0.0,627000.0,456000.0,2092500.0,752100.0,1727400.0,390000.0,309600.0,897600.0,959940.0,195000.0,1577400.0,0.0,1026000.0,292500.0,0.0,0.0,0.0,0.0,0.0,798000.0,0.0,1128300.0,343200.0,2501400.0,312000.0,228000.0,585000.0,435556.2,17634496.2
中天家办,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411609.9,0.0,570000.0,0.0,507000.0,234000.0,0.0,1170000.0,390000.0,39000.0,588158.4,0.0,936000.0,234000.0,0.0,780000.0,705600.0,1387890.45,136800.0,1051270.2,2457000.0,195000.0,11793328.95
万城保险,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1170000.0,0.0,114000.0,66300.0,195000.0,2094300.0,1248000.0,390000.0,3433923.0,0.0,0.0,0.0,99052.2,39000.0,468000.0,78000.0,0.0,234000.0,1443000.0,11072575.2
臻略财富,0.0,0.0,624000.0,0.0,679560.0,456000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,468000.0,2475000.0,351000.0,0.0,159600.0,316500.0,490200.0,6019860.0
利泰丰,0.0,0.0,0.0,98311.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,482577.42,0.0,0.0,0.0,0.0,0.0,0.0,873568.8,230723.99999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1685181.42
德方集团,0.0,780000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1560000.0
富仕德,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456000.0,0.0,0.0,0.0,0.0,456000.0,0.0,239400.0,0.0,0.0,195000.0,20104.5,0.0,0.0,0.0,1366504.5
龙腾财富,0.0,0.0,390000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156000.0,0.0,0.0,390000.0,1107000.0
太富,798000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,798000.0
裕承资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,570000.0,0.0,0.0,726000.0
动力势能,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,570000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,570000.0
巨蚁环球,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390000.0,0.0,0.0,0.0,0.0,0.0,390000.0
钜诚保险,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156000.0
共享经纪,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11294.4,0.0,0.0,117000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128294.4
众安国际,0.0,117000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117000.0
