KEY ACCOUNT,2026W01,2026W02,2026W03,2026W04,2026W05,2026W06,2026W07,2026W08,2026W09,2026W10,2026W11,2026W12,2026W13,2026W14,2026W15,2026W16,2026W17,2026W18,2026W19,2026W20,2026W21,2026W22,2026W23,2026W24,2026W25,2026W26,2026W27,2026W28,2026W29,合计
天誉国际(MGA),0,0,0,0,0,0,0,3,3,1,1,6,2,5,6,6,3,4,11,6,16,6,11,7,13,15,17,26,33,201
天誉国际,0,0,0,0,0,1,2,0,2,5,6,8,4,1,2,8,4,8,5,9,8,5,6,6,10,5,6,7,12,130
唯思,1,4,5,3,4,2,1,2,2,4,3,3,0,6,12,5,2,1,6,3,5,7,5,1,4,5,2,3,6,107
紫荆保险,1,6,4,4,5,6,1,3,0,9,4,6,2,4,1,4,0,4,3,3,5,2,1,3,1,0,1,1,5,89
万森保险,0,3,2,3,4,1,0,5,2,5,4,5,2,3,1,2,1,1,3,5,1,2,3,2,5,2,3,0,1,71
堡盛国际,5,5,3,1,0,1,0,1,3,4,4,1,1,0,1,0,0,0,0,5,2,3,2,4,3,1,1,0,0,51
企鹅保险,0,2,1,7,3,5,1,4,5,6,2,5,0,1,1,0,0,0,0,0,2,0,5,1,5,1,1,1,5,64
中天家办,0,0,0,0,0,0,0,2,0,1,0,2,1,0,1,1,1,3,0,2,1,0,1,3,5,1,4,3,1,33
万城保险,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,3,3,1,2,0,0,0,1,1,1,1,0,1,2,20
臻略财富,0,0,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,0,1,2,2,20
利泰丰,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,11
德方集团,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
富仕德,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,2,0,0,0,6
龙腾财富,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,5
太富,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
裕承资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2
动力势能,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
巨蚁环球,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
钜诚保险,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
共享经纪,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2
众安国际,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
合计,8,22,18,20,19,18,5,20,17,35,26,38,13,22,27,31,14,23,35,37,40,27,37,33,50,35,37,44,68,819
