KEY ACCOUNT,2026W01,2026W02,2026W03,2026W04,2026W05,2026W06,2026W07,2026W08,2026W09,2026W10,2026W11,2026W12,2026W13,2026W14,2026W15,2026W16,2026W17,2026W18,2026W19,2026W20,2026W21,2026W22,2026W23,2026W24,2026W25,2026W26,2026W27,2026W28,2026W29,合计
天誉国际(MGA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,936000.0,93990.0,468000.0,0.0,1143472.2,195000.0,624000.0,2599896.0,1621350.0,1670278.74,0.0,1219000.0,2904330.0,6162780.0,1101750.0,1726335.0,2964000.0,3969000.0,4274400.0,4313496.0,6313500.0,16882132.64,61182710.58
天誉国际,0.0,0.0,0.0,0.0,0.0,0.0,604200.0,390000.0,1014000.0,585000.0,1681490.46,4428600.0,1973940.0,117000.0,312000.0,1023000.0,9630590.0,1359100.0,4363000.0,2301000.0,4442460.0,1894800.0,1404000.0,6622800.0,1955099.4,3679788.0,873600.0,1170000.0,3290940.0,55116407.86
唯思,156000.0,234000.0,1108504.8,991500.0,3978000.0,1115400.0,0.0,471600.0,156000.0,390000.0,1115400.0,2800200.0,80000.0,273000.0,2040561.9000000001,994320.6000000001,1209000.0,456000.0,279053.58,435770.4,2232000.0,2138640.08,312000.0,1452000.0,4626000.0,518560.8,239400.0,702000.0,1484234.4,31989146.56
紫荆保险,0.0,1161600.0,819000.0,1287000.0,3020400.0,441000.0,1155000.0,897000.0,858000.0,639600.0,2106000.0,3260940.0,1221000.0,1404000.0,390000.0,2106000.0,570000.0,2340000.0,1170000.0,1025520.0,2130000.0,897300.0,780000.0,263526.12,390000.0,0.0,0.0,117000.0,1014000.0,31463886.12
万森保险,0.0,16255.2,390000.0,450300.0,1443000.0,234000.0,399000.0,273000.0,0.0,3666000.0,551340.0,3308700.0,0.0,1367700.0,1473000.0,1058100.0,0.0,171000.0,218400.0,858000.0,2224669.2,228000.0,1242000.0,702000.0,1533000.0,780000.0,1536000.0,0.0,0.0,24123464.4
堡盛国际,1014000.0,234000.0,1657500.0,1771000.0,585000.0,546000.0,101400.0,273000.0,0.0,624000.0,2364600.0,948000.0,1245000.0,0.0,234000.0,0.0,0.0,0.0,0.0,1139400.0,912600.0,1258800.0,1065000.0,0.0,2032500.0,546000.0,234000.0,0.0,285000.0,19070800.0
企鹅保险,0.0,456000.0,627000.0,1003500.0,1841100.0,1248000.0,390000.0,789000.0,0.0,1857540.0,195000.0,420000.0,1157400.0,1026000.0,292500.0,0.0,0.0,0.0,0.0,0.0,798000.0,0.0,672300.0,456000.0,2605200.0,551400.0,0.0,813000.0,156000.0,17354940.0
中天家办,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411609.9,0.0,0.0,0.0,1077000.0,234000.0,0.0,0.0,1560000.0,0.0,39000.0,18158.4,726000.0,780000.0,234000.0,780000.0,315600.0,1777890.45,0.0,466960.2,2398110.0,975000.0,11793328.95
万城保险,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1170000.0,0.0,0.0,375300.0,585000.0,1509300.0,1638000.0,3433923.0,0.0,0.0,0.0,99052.2,0.0,507000.0,78000.0,0.0,234000.0,0.0,9629575.2
臻略财富,0.0,0.0,234000.0,390000.0,508560.0,627000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,468000.0,2475000.0,234000.0,117000.0,0.0,476100.0,0.0,5529660.0
利泰丰,0.0,0.0,0.0,98311.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,482577.42,0.0,0.0,0.0,0.0,0.0,0.0,873568.8,230723.99999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1685181.42
德方集团,0.0,780000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1560000.0
富仕德,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456000.0,0.0,0.0,0.0,456000.0,0.0,0.0,0.0,239400.0,195000.0,20104.5,0.0,0.0,0.0,1366504.5
太富,0.0,798000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,798000.0
裕承资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,570000.0,0.0,726000.0
龙腾财富,0.0,0.0,390000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171000.0,0.0,0.0,0.0,0.0,0.0,0.0,156000.0,0.0,0.0,0.0,717000.0
