KEY ACCOUNT,2026W01,2026W02,2026W03,2026W04,2026W05,2026W06,2026W07,2026W08,2026W09,2026W10,2026W11,2026W12,2026W13,2026W14,2026W15,2026W16,2026W17,2026W18,2026W19,2026W20,2026W21,2026W22,2026W23,2026W24,2026W25,2026W26,2026W27,2026W28,2026W29,合计
天誉国际(MGA),0,0,0,0,0,0,0,3,2,2,0,6,2,6,4,7,4,0,7,12,17,5,8,7,12,13,13,16,36,182
天誉国际,0,0,0,0,0,0,1,1,2,2,7,9,6,1,1,3,8,3,9,4,14,5,3,9,6,9,4,6,9,122
唯思,1,1,6,3,5,4,0,2,1,1,5,5,1,1,8,10,6,1,3,4,6,7,1,4,6,4,1,2,4,103
紫荆保险,0,5,2,5,6,3,2,4,3,4,6,7,4,1,2,2,1,2,2,5,6,4,1,4,1,0,0,1,3,86
万森保险,0,1,2,3,4,1,1,2,0,6,3,9,0,3,3,4,0,1,2,4,4,1,3,2,6,1,4,0,0,70
堡盛国际,2,1,4,4,1,2,1,1,0,2,5,3,3,0,1,0,0,0,0,2,4,3,2,0,6,2,1,0,1,51
企鹅保险,0,1,2,4,6,3,1,6,0,11,2,2,3,1,1,0,0,0,0,0,2,0,4,1,5,2,0,2,2,61
中天家办,0,0,0,0,0,0,0,2,0,0,0,3,1,0,0,2,0,1,1,3,1,1,1,2,6,0,4,3,2,33
万城保险,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,2,4,2,0,0,0,1,0,2,1,0,1,0,18
臻略财富,0,0,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,1,0,3,0,18
利泰丰,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,11
德方集团,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
富仕德,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,2,0,0,0,6
太富,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
裕承资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2
龙腾财富,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,4
动力势能,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
巨蚁环球,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
钜诚保险,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
共享经纪,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2
众安国际,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
合计,3,11,19,22,24,16,6,21,8,28,29,47,20,14,23,30,22,12,32,39,54,27,26,34,53,37,27,35,57,776
