KEY ACCOUNT,2026W01,2026W02,2026W03,2026W04,2026W05,2026W06,2026W07,2026W08,2026W09,2026W10,2026W11,2026W12,2026W13,2026W14,2026W15,2026W16,2026W17,2026W18,2026W19,2026W20,2026W21,2026W22,2026W23,2026W24,2026W25,2026W26,2026W27,2026W28,2026W29,合计
天誉国际,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,799200.0,780000.0,0.0,1263600.0,390000.0,2080430.46,1626000.0,2568000.0,781650.0,9724040.0,1960000.0,4486000.0,663000.0,2182560.0,1879200.0,6088500.0,2379000.0,1447800.0,1521000.0,1727099.4,44347079.86
唯思,3136743.48,3728400.0,5724295.199999999,2061000.0,1206000.0,390000.0,3354000.0,624000.0,448500.0,569400.0,0.0,406504.8,2445000.0,860000.0,170964.3,1669200.0,686400.0,2379000.0,169197.6,509816.1,1096006.08,459170.4,1744368.6,755664.0,2514000.0,618000.0,1507800.0,174119.4,369000.0,39776549.96
紫荆保险,2214300.0,1320000.0,4813140.0,725400.0,1978320.0,1377100.62,507000.0,2123400.0,936000.0,1233000.0,429000.0,585000.0,2145000.0,585000.0,2843940.0,234000.0,2535000.0,0.0,0.0,3690000.0,390000.0,519000.0,462840.0,870480.0,741000.0,1332383.52,315642.6,0.0,585000.0,35490946.74
堡盛国际,2698800.0,3525600.0,3645000.0,358800.0,3174000.0,1307500.0,546000.0,608400.0,273000.0,273000.0,234000.0,0.0,960600.0,285000.0,2364000.0,1053000.0,519000.0,0.0,0.0,0.0,312000.0,570000.0,1349400.0,312000.0,0.0,951600.0,551400.0,1311000.0,1033500.0,28216600.0
利泰丰,0.0,27143998.9,0.0,0.0,0.0,98311.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,468000.0,14577.42,0.0,0.0,0.0,93568.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27818456.32
万森保险,1404000.0,195000.0,1458600.0,312000.0,558000.0,1741555.2,0.0,702000.0,117000.0,585000.0,897000.0,0.0,1374000.0,441000.0,5444400.0,1287000.0,142500.0,0.0,590340.0,2169600.0,23400.0,430669.2,546000.0,1554000.0,0.0,1209000.0,2190000.0,546000.0,0.0,25918064.4
天誉国际(MGA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,789750.0,84240.0,624000.0,351000.0,390000.0,58500.0,1429896.0,843300.0,338428.74,1288000.0,1560000.0,2312730.0,1413750.0,78000.0,3806400.0,1189500.0,3155100.0,974331.0,1353600.0,22040525.740000002
企鹅保险,1046700.0,1021200.0,456000.0,91200.0,1163400.0,277500.0,112500.0,2417400.0,826200.0,479400.0,271800.0,1017600.0,1304940.0,473400.0,1657800.0,390000.0,1026000.0,292500.0,0.0,0.0,0.0,0.0,0.0,140400.0,0.0,1808400.0,2290200.0,292500.0,0.0,18857040.0
宏鑫资产,780000.0,0.0,0.0,11700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12480000.0
中天家办,0.0,1596000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411609.9,0.0,0.0,0.0,234000.0,117000.0,960000.0,1170000.0,429000.0,0.0,285000.0,441000.0,0.0,0.0,0.0,954158.4,234000.0,390000.0,1076400.0,156000.0,8454168.3
