KEY ACCOUNT,2026W01,2026W02,2026W03,2026W04,2026W05,2026W06,2026W07,2026W08,2026W09,2026W10,2026W11,2026W12,2026W13,2026W14,2026W15,2026W16,2026W17,2026W18,2026W19,2026W20,2026W21,2026W22,2026W23,2026W24,2026W25,2026W26,2026W27,2026W28,2026W29,合计
天誉国际,0,0,0,0,0,0,0,0,0,2,1,0,4,1,9,3,5,4,10,3,8,2,5,7,10,5,6,6,5,96
唯思,13,9,8,4,7,1,2,3,2,2,0,2,10,3,2,5,3,4,2,4,4,3,8,3,6,3,4,4,2,123
紫荆保险,8,6,9,2,9,7,2,3,4,3,2,1,6,4,6,1,5,0,0,4,1,2,3,3,2,4,2,0,3,102
堡盛国际,8,8,9,2,7,4,1,3,1,1,1,0,2,1,5,3,2,0,0,0,1,1,2,1,0,2,2,4,4,75
利泰丰,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,9
万森保险,4,2,5,2,3,4,0,3,1,4,2,0,4,2,8,3,2,0,3,5,1,3,2,3,0,4,7,2,0,79
天誉国际(MGA),0,0,0,0,0,0,0,0,0,0,4,1,2,1,1,2,3,6,7,3,1,10,7,1,11,7,9,8,7,91
企鹅保险,6,3,1,1,4,2,1,7,5,2,2,2,10,2,5,1,1,1,0,0,0,0,0,2,0,3,6,1,0,68
宏鑫资产,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
中天家办,0,1,0,0,0,0,0,0,0,2,0,0,0,1,1,2,1,2,0,1,2,0,0,0,3,1,1,3,1,22
万城保险,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,1,0,2,1,0,0,3,0,1,0,0,12
臻略财富,0,0,0,1,0,0,0,2,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,2,1,2,1,15
德方集团,2,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
晋誉财富,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
卓樾会,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
龙腾财富,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5
富仕德,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,4
太富,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
动力势能,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
巨蚁环球,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
共享经纪,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3
钜诚保险,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
裕承资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
众安国际,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
时代保险,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
香港宜达,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
合计,46,38,35,18,31,20,7,22,15,17,12,6,40,16,38,23,23,18,23,26,21,22,30,21,36,31,41,30,25,731
