保险公司,件数,APE,年总保费(HKD),APE件均,年总保费件均,件数占比,APE占比
永明,934,361550464.53,680555628.93,387098.99842612416,728646.2836509636,0.775103734439834,0.7519775477334356
安盛,134,54697195.8,54697195.8,408188.02835820895,408188.02835820895,0.11120331950207468,0.11376299355346751
澳门中国人寿,19,43700000.0,43700000.0,2300000.0,2300000.0,0.015767634854771784,0.09089026860654036
万通,22,7500472.2,7500472.2,340930.55454545456,340930.55454545456,0.018257261410788383,0.015599998465306377
立桥,55,6679009.74,66790097.4,121436.54072727273,1214365.4072727272,0.04564315352697095,0.013891464285910739
太平洋,17,3237041.1800000006,7764941.18,190414.18705882356,456761.24588235293,0.014107883817427386,0.006732621106192961
宏利,3,1170000.0,1170000.0,390000.0,390000.0,0.0024896265560165973,0.002433446550792957
永明金融有限公司,2,460200.0,460200.0,230100.0,230100.0,0.0016597510373443983,0.0009571556433118964
中银人寿,2,410016.89,410016.89,205008.445,205008.445,0.0016597510373443983,0.0008527813561857737
微蓝保险有限公司,1,390000.0,3900000.0,390000.0,3900000.0,0.0008298755186721991,0.000811148850264319
友邦,10,377426.56,377426.56,37742.656,37742.656,0.008298755186721992,0.0007849977441108128
中国人寿,2,306000.0,306000.0,153000.0,153000.0,0.0016597510373443983,0.0006364398671304657
保诚,1,234000.0,234000.0,234000.0,234000.0,0.0008298755186721991,0.00048668931015859136
安达人寿保险有限公司,1,68000.4,68000.4,68000.4,68000.4,0.0008298755186721991,0.00014143191353208664
保柏（亚洲）有限公司,2,19720.0,19720.0,9860.0,9860.0,0.0016597510373443983,4.1015013659518896e-05
周大福,0,0.0,0.0,0.0,0.0,0.0,0.0
澳门太平,0,0.0,0.0,0.0,0.0,0.0,0.0
保柏,0,0.0,0.0,0.0,0.0,0.0,0.0
富卫,0,0.0,0.0,0.0,0.0,0.0,0.0
忠意,0,0.0,0.0,0.0,0.0,0.0,0.0
信诺,0,0.0,0.0,0.0,0.0,0.0,0.0
合计,1205,480799547.29999995,867953699.3599999,399003.773692946,720293.5264398339,1.0,1.0
