牌照(签单供应商),件数,批核APE,批核年总保费(HKD),件数占比,APE占比,批核年总保费占比
怡泰财富管理有限公司,240,238231097.58,1900461727.38,0.1991701244813278,0.3849022186341266,0.8114654196586603
九富保险服务有限公司,507,181027008.92,181729914.73,0.420746887966805,0.2924794372934854,0.07759563867892912
众和恒富理财集团有限公司,331,106242187.64,106242187.64,0.27468879668049795,0.17165203934573242,0.0453636398653497
天誉国际财富管理有限公司,91,22040525.74,48834693.4,0.07551867219917012,0.03561015897322037,0.020851598536722013
盈富理财顾问有限公司,17,39700000.0,39700000.0,0.014107883817427386,0.06414199588130372,0.016951237005367662
利泰丰财富管理有限公司,2,3510000.0,35100000.0,0.0016597510373443983,0.005670992582956576,0.014987113825904407
富强天一财富管理有限公司,8,27760821.09,29515821.09,0.006639004149377593,0.04485225370318361,0.012602762687773786
置富理财(香港)有限公司,7,271627.36,271627.36,0.005809128630705394,0.0004388594711931839,0.00011598034651139355
唯思财富顾问有限公司,1,78000.0,78000.0,0.0008298755186721991,0.000126022057399035,3.330469739089868e-05
泰溢国际有限公司,1,78000.0,78000.0,0.0008298755186721991,0.000126022057399035,3.330469739089868e-05
唯思管理有限公司,0,0.0,0.0,0.0,0.0,0.0
Manulife 宏利 (澳门),0,0.0,0.0,0.0,0.0,0.0
合计,1205,618939268.33,2342011971.6,1.0,1.0,1.0
