牌照,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,合计
九富保险服务有限公司,45864039.84,15601144.129999999,13683604.8,39498809.879999995,22239090.65,27296606.82,17546618.61,181729914.72999996
怡泰财富管理有限公司,74396333.7,842134800.0,507476167.4,212564577.42000002,191759128.86,35997000.0,36133720.0,1900461727.38
泰溢国际有限公司,0.0,0.0,0.0,0.0,78000.0,0.0,0.0,78000.0
利泰丰财富管理有限公司,0.0,0.0,0.0,35100000.0,0.0,0.0,0.0,35100000.0
盈富理财顾问有限公司,2000000.0,19000000.0,3000000.0,2000000.0,10400000.0,3300000.0,0.0,39700000.0
置富理财(香港)有限公司,0.0,43711.36,0.0,0.0,56682.6,171233.4,0.0,271627.36
众和恒富理财集团有限公司,21654896.28,15146260.0,8768679.620000001,15182794.76,13042547.58,14801323.2,17645686.2,106242187.64000002
富强天一财富管理有限公司,27923998.9,390000.0,20016.89,791805.3,390000.0,0.0,0.0,29515821.09
唯思管理有限公司,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manulife 宏利 (澳门),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
天誉国际财富管理有限公司,0.0,0.0,10767900.0,2755896.0,6654387.4,14762700.0,13893810.0,48834693.4
唯思财富顾问有限公司,0.0,0.0,0.0,0.0,0.0,78000.0,0.0,78000.0
合计,171839268.72,892315915.49,543716368.7099999,307893883.36,244619837.09,96406863.42,85219834.81,2342011971.6
