牌照,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,合计
九富保险服务有限公司,45864039.84,14898238.32,13683604.8,39498809.879999995,22239090.65,27296606.82,17546618.61,181027008.92000002
怡泰财富管理有限公司,20040543.9,94252080.0,58785847.4,28640577.42,22928128.86,7917000.0,5666920.0,238231097.58000004
泰溢国际有限公司,0.0,0.0,0.0,0.0,78000.0,0.0,0.0,78000.0
利泰丰财富管理有限公司,0.0,0.0,0.0,3510000.0,0.0,0.0,0.0,3510000.0
盈富理财顾问有限公司,2000000.0,19000000.0,3000000.0,2000000.0,10400000.0,3300000.0,0.0,39700000.0
置富理财(香港)有限公司,0.0,43711.36,0.0,0.0,56682.6,171233.4,0.0,271627.36
众和恒富理财集团有限公司,21654896.28,15146260.0,8768679.620000001,15182794.76,13042547.58,14801323.2,17645686.2,106242187.64000002
富强天一财富管理有限公司,27221998.9,390000.0,20016.89,89805.3,39000.0,0.0,0.0,27760821.09
唯思管理有限公司,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manulife 宏利 (澳门),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
天誉国际财富管理有限公司,0.0,0.0,1497990.0,2229396.0,4029728.74,8332380.0,5951031.0,22040525.740000002
唯思财富顾问有限公司,0.0,0.0,0.0,0.0,0.0,78000.0,0.0,78000.0
合计,116781478.92,143730289.68,85756138.71,91151383.36,72813178.42999999,61896543.42,46810255.81,618939268.33
