排名,保单号,签单日,牌照,KA,保司,产品,年期,APE
1,611222899,2025-10-26,怡泰财富,平安银行,永明,永誉传承储蓄计划,1,7800000.0
2,611222895,2025-11-12,怡泰财富,民生银行,永明,永誉传承储蓄计划,1,7800000.0
3,611222827,2025-12-22,怡泰财富,民生银行,永明,永誉传承储蓄计划,1,7800000.0
4,611222988,2026-01-02,怡泰财富,平安银行,永明,永誉传承储蓄计划,1,4680000.0
5,611222958,2025-11-28,怡泰财富,民生银行,永明,永誉传承储蓄计划,1,3900000.0
6,611222862,2025-11-17,怡泰财富,平安银行,永明,永誉传承储蓄计划,1,3120000.0
7,611222889,2026-03-16,怡泰财富,平安银行,永明,永誉传承储蓄计划,1,3120000.0
8,711000018,2026-04-20,利泰丰财,天领重庆,永明,永尚指数型万用寿险,1,2730000.0
9,611208600,2025-10-17,怡泰财富,民生银行,永明,永誉传承储蓄计划,1,2340000.0
10,611222855,2025-11-06,怡泰财富,民生银行,永明,永誉传承储蓄计划,1,2340000.0
11,611227270,2025-11-06,怡泰财富,民生银行,永明,永誉传承储蓄计划,1,2340000.0
12,611222946,2025-11-14,怡泰财富,民生银行,永明,永誉传承储蓄计划,1,2340000.0
13,611222915,2025-11-17,怡泰财富,民生银行,永明,永誉传承储蓄计划,1,2340000.0
14,611222877,2025-11-28,怡泰财富,平安银行,永明,永誉传承储蓄计划,1,2340000.0
15,611222929,2025-11-28,怡泰财富,民生银行,永明,永誉传承储蓄计划,1,2340000.0
16,611222932,2025-12-05,怡泰财富,民生银行,永明,永誉传承储蓄计划,1,2340000.0
17,611232111,2026-04-16,怡泰财富,平安银行,永明,永誉传承储蓄计划,1,2340000.0
18,611232055,2026-01-16,怡泰财富,平安银行,永明,永誉传承储蓄计划,1,2134080.0
19,611208706,2026-01-23,怡泰财富,平安银行,永明,永誉传承储蓄计划,1,2134080.0
20,611222802,2025-11-10,怡泰财富,民生银行,永明,永誉传承储蓄计划,1,1950000.0
