排名,保单号,签单日,牌照,KA,保司,产品,年期,APE
1,3818514788,2025-10-24,富强天一,利泰丰,中银人寿,薪火传承环球终身寿险计划,3,13571999.45
2,3818551288,2025-10-30,富强天一,利泰丰,中银人寿,薪火传承环球终身寿险计划,3,13571999.45
3,611222899,2025-10-26,怡泰财富,平安银行,永明,永誉传承储蓄计划,1,7800000.0
4,611222895,2025-11-12,怡泰财富,民生银行,永明,永誉传承储蓄计划,1,7800000.0
5,611222827,2025-12-22,怡泰财富,民生银行,永明,永誉传承储蓄计划,1,7800000.0
6,602070088,2026-05-26,九富保险,天领深圳,永明,万年青·星河传承保险计划II,5,7800000.0
7,8201176266,2026-02-05,盈富理财,个人转介,澳门中国人寿,裕饶传承储蓄保险计划III,5,6000000.0
8,8201176277,2026-02-05,盈富理财,个人转介,澳门中国人寿,裕饶传承储蓄保险计划III,5,6000000.0
9,602069369,2025-12-19,九富保险,宏鑫资产,永明,万年青·星河尊享保险计划II,5,5850000.0
10,602069366,2025-12-19,九富保险,宏鑫资产,永明,万年青·星河尊享保险计划II,5,5850000.0
11,611233838,2026-04-27,众和恒富,天誉国际,永明,万年青·星河传承保险计划II,2,5460000.0
12,8201176338,2026-02-05,盈富理财,天领重庆,澳门中国人寿,裕饶传承储蓄保险计划III,5,5000000.0
13,611222988,2026-01-02,怡泰财富,平安银行,永明,永誉传承储蓄计划,1,4680000.0
14,8201207520,2026-05-08,盈富理财,个人转介,澳门中国人寿,裕饶传承储蓄保险计划III,5,4000000.0
15,611222958,2025-11-28,怡泰财富,民生银行,永明,永誉传承储蓄计划,1,3900000.0
16,602069307,2026-05-13,九富保险,万城保险,永明,万年青·星河尊享保险计划II,2,3420000.0
17,8201220006,2026-06-17,盈富理财,天誉国际,澳门中国人寿,裕饶传承储蓄保险计划III,5,3300000.0
18,611222862,2025-11-17,怡泰财富,平安银行,永明,永誉传承储蓄计划,1,3120000.0
19,611221228,2026-02-06,众和恒富,唯思,永明,万年青·星河尊享保险计划II,2,3120000.0
20,611222889,2026-03-16,怡泰财富,平安银行,永明,永誉传承储蓄计划,1,3120000.0
