保司,天领业务,成事家办,BK业务,同行经代,永明经代,合伙转介业务,ICLUB业务,IFA业务,合计
永明,50585272.04,6049287.6,231135120.06,76877776.04,153402162.34,4044912.2399999998,604812.08,0.0,522699342.40000004
澳门中国人寿,12000000.0,0.0,0.0,7900000.0,0.0,0.0,19800000.0,0.0,39700000.0
中银人寿,390000.0,0.0,0.0,27143998.9,0.0,20016.89,0.0,0.0,27554015.79
安盛,447167.0,780000.0,0.0,17464396.0,0.0,0.0,0.0,0.0,18691563.0
立桥,900003.0,195000.0,0.0,2669029.74,0.0,226200.0,0.0,0.0,3990232.74
万通,663000.0,390000.0,0.0,1599000.0,0.0,0.0,0.0,0.0,2652000.0
宏利,1170000.0,0.0,0.0,0.0,0.0,10920.0,0.0,0.0,1180920.0
太平洋,585011.7,0.0,0.0,308100.0,0.0,120929.64,0.0,0.0,1014041.34
微蓝保险有限公司,390000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390000.0
中国人寿,156000.0,228000.0,0.0,0.0,0.0,0.0,0.0,0.0,384000.0
友邦,251316.16,78000.0,0.0,20311.2,0.0,0.0,0.0,0.0,349627.36000000004
保诚,234000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234000.0
安达人寿保险有限公司,0.0,0.0,0.0,0.0,0.0,68000.4,0.0,0.0,68000.4
保柏（亚洲）有限公司,0.0,0.0,0.0,0.0,0.0,19720.0,0.0,0.0,19720.0
忠意保险有限公司,11805.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11805.3
合计,67783575.2,7720287.6,231135120.06,133982611.88000001,153402162.34,4510699.17,20404812.08,0.0,618939268.33
