签单供应商,2026批核APE,批核件数,未批核APE,未批核件数,待签APE,待签件数,保险公司数,产品数,KA数,TR数,合计APE,合计件数
怡泰财富管理有限公司,238231097.58,240,29823924.0,46,2535000.0,5,12,20,15,7,270590021.58000004,291
九富保险服务有限公司,181027008.92000002,507,23077485.2,48,3538282.2,13,1,13,30,8,207642776.32,568
众和恒富理财集团有限公司,106242187.64,331,27642747.229999997,71,7723166.2,18,3,12,24,6,141608101.07,420
天誉国际财富管理有限公司,22040525.740000002,91,39142184.84,91,6236700.0,19,4,6,1,2,67419410.58000001,201
盈富理财顾问有限公司,39700000.0,17,4000000.0,2,0.0,0,1,1,6,1,43700000.0,19
富强天一财富管理有限公司,27760821.09,8,0.0,0,0.0,0,3,5,5,2,27760821.09,8
利泰丰财富管理有限公司,3510000.0,2,0.0,0,0.0,0,1,1,1,1,3510000.0,2
置富理财(香港)有限公司,271627.36,7,0.0,0,0.0,0,1,2,2,2,271627.36,7
唯思财富顾问有限公司,78000.0,1,27799.199999999997,2,0.0,0,1,2,2,2,105799.2,3
泰溢国际有限公司,78000.0,1,0.0,0,0.0,0,1,1,1,1,78000.0,1
唯思管理有限公司,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0
Manulife 宏利 (澳门),0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,0
合计,618939268.33,1205,123714140.47000001,260,20033148.4,55,-,-,-,-,762686557.2,1520
