签单供应商,天领业务,成事家办,BK业务,同行经代,永明经代,合伙转介业务,ICLUB业务,IFA业务,合计
九富保险服务有限公司,47075272.04,6049287.6,0.0,42237725.400000006,84273361.44,1391362.44,0.0,0.0,181027008.92000002
怡泰财富管理有限公司,4272181.7,1365000.0,231135120.06,654146.2200000001,0.0,726649.6,78000.0,0.0,238231097.57999998
泰溢国际有限公司,78000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78000.0
利泰丰财富管理有限公司,3510000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3510000.0
盈富理财顾问有限公司,12000000.0,0.0,0.0,7900000.0,0.0,0.0,19800000.0,0.0,39700000.0
置富理财(香港)有限公司,251316.16,0.0,0.0,20311.2,0.0,0.0,0.0,0.0,271627.36
众和恒富理财集团有限公司,0.0,228000.0,0.0,33985904.42,69128800.9,2372670.2399999998,526812.08,0.0,106242187.64
富强天一财富管理有限公司,596805.3,0.0,0.0,27143998.9,0.0,20016.89,0.0,0.0,27760821.09
唯思管理有限公司,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manulife 宏利 (澳门),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
天誉国际财富管理有限公司,0.0,0.0,0.0,22040525.740000002,0.0,0.0,0.0,0.0,22040525.740000002
唯思财富顾问有限公司,0.0,78000.0,0.0,0.0,0.0,0.0,0.0,0.0,78000.0
合计,67783575.2,7720287.6,231135120.06,133982611.88000001,153402162.34,4510699.17,20404812.08,0.0,618939268.33
