签单供应商,天领业务,成事家办,BK业务,同行经代,永明经代,合伙转介业务,ICLUB业务,IFA业务,合计
九富保险服务有限公司,7766896.8,970460.4,0.0,1572540.0,8865600.0,3901988.0,0.0,0.0,23077485.2
怡泰财富管理有限公司,195000.0,0.0,28618200.0,1010724.0,0.0,0.0,0.0,0.0,29823924.0
泰溢国际有限公司,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
利泰丰财富管理有限公司,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
盈富理财顾问有限公司,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0
置富理财(香港)有限公司,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
众和恒富理财集团有限公司,0.0,0.0,0.0,16059823.28,11162379.149999999,420544.8,0.0,0.0,27642747.23
富强天一财富管理有限公司,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
唯思管理有限公司,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manulife 宏利 (澳门),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
天誉国际财富管理有限公司,0.0,0.0,0.0,39142184.84,0.0,0.0,0.0,0.0,39142184.84
唯思财富顾问有限公司,0.0,0.0,0.0,0.0,0.0,27799.199999999997,0.0,0.0,27799.199999999997
合计,11961896.8,970460.4,28618200.0,57785272.120000005,20027979.15,4350332.0,0.0,0.0,123714140.47
