保单号,签单日,批核日,时效(天),牌照,KA,保司,产品,年期,APE,状态
611221282,2025-09-12,2026-05-14,244,众和恒富理财集团,迪岸,永明,永延保障计划,12,154206.0,生效
611208853,2025-10-21,2026-05-29,220,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,1560000.0,生效
611222803,2025-11-17,2026-05-29,193,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,1248000.0,生效
611203280,2025-07-14,2026-01-19,189,怡泰财富管理有限,民生银行,永明,万年青·卓金保险计划II,5,234000.0,生效
611203276,2025-10-22,2026-04-24,184,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,1560000.0,生效
611203242,2025-10-28,2026-04-24,178,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,1560000.0,生效
602068949,2025-11-15,2026-04-30,166,九富保险服务有限,杨帆,永明,万年青·星河传承保险计划II,5,234000.0,生效
611208703,2025-11-11,2026-04-24,164,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,1560000.0,生效
611222815,2025-12-11,2026-05-19,159,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,1560000.0,生效
611222948,2025-11-14,2026-04-21,158,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,780000.0,生效
611208566,2025-08-22,2026-01-27,158,怡泰财富管理有限,民生银行,永明,万年青·卓金保险计划II,5,390000.0,生效
611222827,2025-12-22,2026-05-27,156,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,7800000.0,生效
611222927,2025-11-26,2026-04-30,155,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,1560000.0,生效
611222809,2025-11-21,2026-04-24,154,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,1248000.0,生效
611222966,2025-12-12,2026-05-15,154,怡泰财富管理有限,民生银行,永明,万家康卓越保,25,19560.06,生效
611222912,2025-11-14,2026-04-17,154,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,1248000.0,生效
611222911,2025-11-14,2026-04-17,154,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,780000.0,生效
611222834,2025-11-24,2026-04-24,151,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,780000.0,生效
611208694,2025-11-26,2026-04-23,148,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,1560000.0,生效
611222820,2025-11-20,2026-04-17,148,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,780000.0,生效
611222904,2025-10-24,2026-03-20,147,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,1560000.0,生效
611222925,2025-11-21,2026-04-16,146,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,1560000.0,生效
611222915,2025-11-17,2026-04-10,144,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,2340000.0,生效
611222873,2025-11-25,2026-04-17,143,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,780000.0,生效
611222899,2025-10-26,2026-03-17,142,怡泰财富管理有限,平安银行,永明,永誉传承储蓄计划,1,7800000.0,生效
611208684,2025-11-25,2026-04-16,142,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,780000.0,生效
611203250,2025-09-05,2026-01-16,133,怡泰财富管理有限,民生银行,永明,万年青·卓金保险计划II,2,975000.0,生效
611222861,2025-11-14,2026-03-26,132,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,1560000.0,生效
611222951,2025-11-14,2026-03-24,130,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,1170000.0,生效
611222909,2025-11-13,2026-03-23,130,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,1560000.0,生效
611208848,2025-11-13,2026-03-20,127,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,1560000.0,生效
611222772,2025-09-30,2026-02-04,127,怡泰财富管理有限,民生银行,永明,万年青·卓金保险计划II,2,780000.0,生效
611222851,2025-10-31,2026-03-06,126,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,1560000.0,生效
87122850,2025-12-09,2026-04-13,125,富强天一财富管理,天领成都,忠意保险有限公司,跨越无限保,25,11805.3,生效
611222913,2025-11-14,2026-03-18,124,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,1560000.0,生效
611222808,2025-11-14,2026-03-17,123,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,1560000.0,生效
611222924,2025-11-21,2026-03-24,123,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,780000.0,生效
611222996,2025-11-20,2026-03-20,120,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,1560000.0,生效
611222997,2025-11-21,2026-03-20,119,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,1560000.0,生效
611222872,2025-11-18,2026-03-16,118,怡泰财富管理有限,民生银行,永明,万年青·卓金保险计划II,5,468000.0,生效
611203271,2025-10-30,2026-02-25,118,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,1560000.0,生效
611222865,2025-11-21,2026-03-17,116,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,1560000.0,生效
611222955,2025-11-27,2026-03-20,113,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,1560000.0,生效
611222958,2025-11-28,2026-03-19,111,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,3900000.0,生效
611222929,2025-11-28,2026-03-19,111,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,2340000.0,生效
611222855,2025-11-06,2026-02-24,110,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,2340000.0,生效
611222906,2025-11-13,2026-03-02,109,怡泰财富管理有限,民生银行,永明,永誉传承储蓄计划,1,780000.0,生效
