KEY ACCOUNT,2026W01,2026W02,2026W03,2026W04,2026W05,2026W06,2026W07,2026W08,2026W09,2026W10,2026W11,2026W13,2026W14,2026W15,2026W16,2026W17,2026W18,2026W19,2026W20,2026W21,2026W22,2026W23,2026W24,2026W25,2026W26,2026W27,2026W28,2026W29,合计
天领重庆,780000.0,596778.0,663003.9,546007.8,741000.0,5507000.0,9539.4,287508.0,507000.0,1872000.0,0.0,408167.0,0.0,195000.0,1334430.24,8070768.640000001,101400.0,156000.0,923178.65,1349400.0,936000.0,2091277.5,134284.8,100682.40000000001,297741.6,322488.66000000003,429000.0,1302367.95,29662024.54
天领深圳,0.0,0.0,0.0,0.0,0.0,78000.0,0.0,0.0,0.0,0.0,0.0,78000.0,0.0,0.0,1950000.0,780000.0,409500.0,0.0,780000.0,0.0,3120000.0,0.0,7800000.0,0.0,0.0,0.0,0.0,1560000.0,16555500.0
天领成都,468000.0,0.0,156000.0,0.0,2468000.0,23400.16,0.0,858000.0,1117000.0,156000.0,2000000.0,351000.0,234000.0,190776.30000000002,156000.0,0.0,39000.0,30084.6,0.0,416598.0,1170000.0,507000.0,203993.4,10795.2,0.0,0.0,156000.0,0.0,10711647.659999998
宁波贴牌,0.0,858000.0,234000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78000.0,1833000.0,0.0,78000.0,78000.0,390000.0,0.0,390000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3939000.0
广西贴牌,273000.0,156000.0,78000.0,390000.0,468000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,78000.0,390000.0,101400.0,0.0,0.0,156000.0,234000.0,0.0,0.0,0.0,0.0,3324400.0
武汉贴牌,858000.0,663000.0,0.0,0.0,78000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156000.0,0.0,0.0,0.0,0.0,234000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390000.0,0.0,2379000.0
合肥,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390000.0,0.0,0.0,0.0,0.0,0.0,390000.0
厦门贴牌,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78000.0,117000.0,78000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273000.0
苏州贴牌,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117000.0,0.0,0.0,0.0,273000.0
台州,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156000.0,0.0,0.0,0.0,234000.0
长沙贴牌,42003.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42003.0
合计,2421003.0,2273778.0,1131003.9,936007.8,3755000.0,5608400.16,9539.4,1145508.0,1624000.0,2028000.0,2000000.0,915167.0,3067000.0,697776.3,3518430.24,9084768.64,1056900.0,342084.6,2717178.65,1867398.0,5226000.0,2598277.5,8684278.2,345477.60000000003,570741.6,322488.66000000003,975000.0,2862367.95,67783575.2
