KEY ACCOUNT,2026W01,2026W02,2026W03,2026W04,2026W05,2026W06,2026W07,2026W08,2026W09,2026W10,2026W11,2026W13,2026W14,2026W15,2026W16,2026W17,2026W18,2026W19,2026W20,2026W21,2026W22,2026W23,2026W24,2026W25,2026W26,2026W27,2026W28,2026W29,合计
天领重庆,6,3,3,2,4,5,1,3,3,3,0,3,0,2,3,12,2,1,9,7,3,11,3,3,3,4,3,6,108.0
天领成都,3,0,1,0,4,2,0,4,2,1,2,2,1,4,1,0,1,1,0,2,3,2,3,1,0,0,1,0,41.0
广西贴牌,1,1,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0,1,2,0,0,0,0,14.0
天领深圳,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,1,1,0,1,0,1,0,1,0,0,0,0,1,10.0
宁波贴牌,0,2,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,9.0
武汉贴牌,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,7.0
厦门贴牌,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,5.0
台州,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2.0
苏州贴牌,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0
合肥,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0
长沙贴牌,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
合计,13,7,6,3,11,8,1,7,5,4,2,7,3,8,7,16,7,5,13,11,7,13,9,6,5,4,5,7,200.0
