KEY ACCOUNT,2026W01,2026W03,2026W04,2026W05,2026W06,2026W07,2026W08,2026W09,2026W10,2026W11,2026W12,2026W13,2026W14,2026W15,2026W16,2026W17,2026W18,2026W19,2026W20,2026W21,2026W22,2026W23,2026W24,2026W25,2026W26,2026W27,2026W28,2026W29,合计
天领重庆,0.0,1218551.1,156000.0,5287508.0,1755000.0,0.0,702000.0,78000.0,0.0,460154.0,1209000.0,2964000.0,546000.0,290624.88,4896100.0,319200.0,0.0,2104207.25,914682.6,1950000.0,795362.1,468000.0,702000.0,546000.0,938456.61,156000.0,1950000.0,335400.0,30742246.540000003
天领深圳,0.0,0.0,78000.0,0.0,0.0,0.0,0.0,0.0,780000.0,0.0,1248000.0,0.0,780000.0,1189500.0,0.0,0.0,0.0,3120000.0,0.0,7800000.0,0.0,0.0,0.0,1560000.0,0.0,0.0,0.0,390000.0,16945500.0
天领成都,195000.0,647400.1599999999,2507000.0,0.0,1000000.0,234000.0,2156000.0,0.0,0.0,234000.0,39000.0,451971.0,0.0,0.0,0.0,0.0,0.0,100237.8,1950000.0,288233.4,0.0,0.0,156000.0,0.0,0.0,0.0,4000000.0,0.0,13958842.360000001
宁波贴牌,0.0,0.0,0.0,0.0,0.0,0.0,78000.0,0.0,0.0,3666000.0,156000.0,0.0,0.0,390000.0,0.0,0.0,0.0,780000.0,0.0,0.0,780000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5850000.0
广西贴牌,0.0,78000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,78000.0,390000.0,319800.0,0.0,156000.0,0.0,234000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2255800.0
武汉贴牌,0.0,78000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156000.0,0.0,0.0,0.0,0.0,234000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21496.8,390000.0,468000.0,0.0,0.0,1347496.8
苏州贴牌,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117000.0,390000.0,0.0,0.0,0.0,663000.0
合肥,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390000.0
厦门贴牌,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78000.0,351000.0
台州,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156000.0,0.0,0.0,0.0,0.0,0.0,234000.0
合计,195000.0,2021951.26,2741000.0,5287508.0,2755000.0,234000.0,2936000.0,78000.0,780000.0,4360154.0,2964000.0,4415971.0,1326000.0,1870124.88,5325100.0,943200.0,319800.0,6104445.05,3020682.6,10428233.4,1809362.1,468000.0,1014000.0,2244496.8,1718456.6099999999,624000.0,5950000.0,803400.0,72737885.7
