KEY ACCOUNT,2026W01,2026W03,2026W04,2026W05,2026W06,2026W07,2026W08,2026W09,2026W10,2026W11,2026W12,2026W13,2026W14,2026W15,2026W16,2026W17,2026W18,2026W19,2026W20,2026W21,2026W22,2026W23,2026W24,2026W25,2026W26,2026W27,2026W28,2026W29,合计
天领重庆,0,8,2,4,2,0,4,1,0,5,2,5,1,5,6,2,0,14,7,4,13,1,3,2,8,1,4,4,108.0
天领成都,1,5,4,0,1,1,3,0,0,1,1,5,0,0,0,0,0,4,5,3,0,0,1,0,0,0,2,0,37.0
天领深圳,0,0,1,0,0,0,0,0,1,0,2,0,1,2,0,0,0,1,0,1,0,0,0,1,0,0,0,1,11.0
广西贴牌,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,4,0,1,0,2,0,0,0,0,0,0,0,11.0
宁波贴牌,0,0,0,0,0,0,1,0,0,2,2,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,9.0
厦门贴牌,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,6.0
武汉贴牌,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,6.0
苏州贴牌,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3.0
台州,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2.0
合肥,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0
合计,1,15,7,4,3,1,8,1,1,8,9,11,2,8,13,4,4,21,13,9,16,1,5,5,10,2,6,6,194.0
