KEY ACCOUNT,2026W01,2026W02,2026W03,2026W04,2026W05,2026W06,2026W07,2026W08,2026W09,2026W10,2026W11,2026W12,2026W13,2026W15,2026W16,2026W17,2026W18,2026W19,2026W20,2026W21,2026W22,2026W23,2026W24,2026W25,2026W26,2026W27,2026W28,2026W29,合计
天领重庆,156000.0,858011.7000000001,204539.4,1716000.0,5326508.0,702000.0,234000.0,0.0,129987.0,174167.0,0.0,3549000.0,1454700.0,1290624.88,3611400.0,475200.0,889489.85,1973400.0,462859.8,2097084.6,341417.7,1014000.0,468000.0,897000.0,275456.61,1482000.0,858000.0,446815.2,31087661.740000002
天领深圳,0.0,0.0,0.0,78000.0,0.0,0.0,0.0,0.0,0.0,780000.0,0.0,1248000.0,780000.0,1189500.0,0.0,0.0,0.0,3120000.0,7800000.0,0.0,0.0,0.0,0.0,1560000.0,0.0,0.0,0.0,390000.0,16945500.0
天领成都,0.0,234000.0,2413400.16,507000.0,0.0,3000000.0,390000.0,0.0,0.0,0.0,429000.0,295971.0,0.0,0.0,0.0,0.0,490237.8,1170000.0,678233.4,0.0,0.0,0.0,156000.0,0.0,0.0,4000000.0,0.0,0.0,13763842.360000001
宁波贴牌,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78000.0,0.0,0.0,3666000.0,156000.0,0.0,390000.0,0.0,0.0,0.0,780000.0,0.0,0.0,780000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5850000.0
广西贴牌,0.0,78000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,468000.0,218400.0,101400.0,0.0,156000.0,78000.0,156000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2255800.0
武汉贴牌,0.0,0.0,78000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156000.0,0.0,234000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411496.8,468000.0,0.0,0.0,234000.0,1581496.8
苏州贴牌,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117000.0,390000.0,0.0,0.0,0.0,0.0,663000.0
合肥,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390000.0
厦门贴牌,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78000.0,195000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78000.0,351000.0
台州,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78000.0,0.0,0.0,0.0,0.0,0.0,0.0,156000.0,0.0,0.0,0.0,0.0,0.0,0.0,234000.0
合计,156000.0,1170011.7000000002,2695939.56,2301000.0,5326508.0,3702000.0,624000.0,78000.0,129987.0,954167.0,4095000.0,6560971.0,2234700.0,3182124.88,4352400.0,693600.0,1481127.65,7043400.0,9097093.2,2565084.6,1277417.7,1170000.0,741000.0,3258496.8,743456.61,5482000.0,858000.0,1148815.2,73122300.9
