KEY ACCOUNT,2026W01,2026W02,2026W03,2026W04,2026W05,2026W06,2026W07,2026W08,2026W09,2026W10,2026W11,2026W12,2026W13,2026W15,2026W16,2026W17,2026W18,2026W19,2026W20,2026W21,2026W22,2026W23,2026W24,2026W25,2026W26,2026W27,2026W28,2026W29,合计
天领重庆,1,5,3,2,4,4,1,0,3,2,0,3,6,6,4,3,12,8,3,10,5,3,1,5,5,4,4,5,112.0
天领成都,0,2,5,2,0,3,2,0,0,0,3,4,0,0,0,0,5,3,4,0,0,0,1,0,0,2,0,0,36.0
天领深圳,0,0,0,1,0,0,0,0,0,1,0,2,1,2,0,0,0,1,1,0,0,0,0,1,0,0,0,1,11.0
广西贴牌,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,2,2,0,1,1,1,0,0,0,0,0,0,0,11.0
宁波贴牌,0,0,0,0,0,0,0,1,0,0,2,2,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,9.0
武汉贴牌,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,7.0
厦门贴牌,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,6.0
苏州贴牌,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3.0
台州,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2.0
合肥,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0
合计,1,8,9,5,4,7,3,1,3,3,5,14,7,12,10,5,19,14,9,12,7,4,3,9,6,6,4,8,198.0
