KEY ACCOUNT,2026W01,2026W02,2026W03,2026W04,2026W05,2026W06,2026W08,2026W09,2026W11,2026W13,2026W15,2026W16,2026W18,2026W19,2026W20,2026W21,2026W26,2026W28,合计
个人转介,0.0,0.0,2000000.0,89809.2,0.0,0.0,12000000.0,109200.08,120929.64,390000.0,0.0,0.0,0.0,18813.6,4000000.0,8798.4,0.0,19720.0,18757270.919999998
保险师,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800000.0,0.0,0.0,1800000.0
懿丰家族,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,975000.0,0.0,390000.0,0.0,0.0,0.0,0.0,1365000.0
明德长青,0.0,0.0,0.0,0.0,0.0,390000.0,0.0,0.0,0.0,390000.0,78000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,858000.0
总部职能,11456.64,0.0,234000.0,0.0,0.0,0.0,0.0,0.0,0.0,88017.29,0.0,0.0,14905.8,0.0,0.0,15186.0,78000.0,270948.6,712514.33
荻邦咨询,0.0,0.0,0.0,0.0,507000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,507000.0
德约,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46800.0,79800.0,0.0,0.0,234000.0,0.0,0.0,0.0,0.0,0.0,0.0,360600.0
Molly,0.0,234000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234000.0
迪岸,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154206.0,0.0,0.0,0.0,0.0,154206.0
新风,0.0,78000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78000.0
虹霖贸易,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78000.0
励欧移民,0.0,0.0,10920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10920.0
合计,11456.64,312000.0,2244920.0,89809.2,507000.0,390000.0,12000000.0,156000.08000000002,200729.64,946017.29,78000.0,1209000.0,14905.8,563019.6,4000000.0,1823984.4,78000.0,290668.6,24915511.249999996
