KEY ACCOUNT,2026W01,2026W02,2026W03,2026W04,2026W05,2026W06,2026W08,2026W09,2026W11,2026W13,2026W15,2026W16,2026W18,2026W19,2026W20,2026W21,2026W26,2026W28,合计
个人转介,0,0,1,1,0,0,2,2,2,1,0,0,0,1,1,1,0,2,14.0
总部职能,1,0,1,0,0,0,0,0,0,2,0,0,1,0,0,1,1,3,10.0
德约,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,3.0
明德长青,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,3.0
懿丰家族,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2.0
Molly,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
保险师,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0
励欧移民,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
新风,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
荻邦咨询,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
虹霖贸易,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0
迪岸,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0
合计,1,2,3,1,1,1,2,3,3,5,1,2,1,3,1,3,1,5,39.0
