target_id,period_key,business_category,segment_code,ka_id,team_id,target_category,carrier_code,business_line,product_category,target_ape
T00001,2026,AGT,SLC,ALL,ALL,全业务规划,ALL,ALL,ALL,193000000
T00002,2026,AGT,GTD,ALL,ALL,全业务规划,ALL,ALL,ALL,70000000
T00003,2026,AGT,NGP,ALL,ALL,全业务规划,ALL,ALL,ALL,220000000
T00004,2026,BRK,BK,ALL,ALL,全业务规划,ALL,ALL,ALL,200000000
T00005,2026,BRK,BRK,ALL,ALL,全业务规划,ALL,ALL,ALL,160000000
T00006,2026,BRK,SLBRK,ALL,ALL,全业务规划,ALL,ALL,ALL,340000000
T00007,2026,KA,REF,ALL,ALL,全业务规划,ALL,ALL,ALL,73000000
T00008,2026,KA,IFA,ALL,ALL,全业务规划,ALL,ALL,ALL,25000000
T00009,2026,KA,ICLUB,ALL,ALL,全业务规划,ALL,ALL,ALL,52000000
T00010,2026,MGA,TA,ALL,ALL,全业务规划,ALL,ALL,ALL,600000000
T00011,2026,AGT,SLC,ALL,ALL,永明业务规划,SLHK,ALL,ALL,135100000
T00012,2026,AGT,GTD,ALL,ALL,永明业务规划,SLHK,ALL,ALL,56000000
T00013,2026,AGT,NGP,ALL,ALL,永明业务规划,SLHK,ALL,ALL,220000000
T00014,2026,BRK,BK,ALL,ALL,永明业务规划,SLHK,ALL,ALL,200000000
T00015,2026,BRK,BRK,ALL,ALL,永明业务规划,SLHK,ALL,ALL,140000000
T00016,2026,BRK,SLBRK,ALL,ALL,永明业务规划,SLHK,ALL,ALL,340000000
T00017,2026,KA,REF,ALL,ALL,永明业务规划,SLHK,ALL,ALL,51100000
T00018,2026,KA,IFA,ALL,ALL,永明业务规划,SLHK,ALL,ALL,17500000
T00019,2026,KA,ICLUB,ALL,ALL,永明业务规划,SLHK,ALL,ALL,36400000
T00020,2026,MGA,TA,ALL,ALL,永明业务规划,SLHK,ALL,ALL,600000000
T00021,2026,AGT,SLC,ALL,ALL,高客业务规划,ALL,HNW,ALL,27020000
T00022,2026,AGT,GTD,ALL,ALL,高客业务规划,ALL,HNW,ALL,11200000
