A. 目标达成率 | Target Achievement Rate,,,,
📌 按目标类型统计2026年批核APE（issue_year=2026），计算达成率,,,,
指标,目标APE,已达成APE,目标达成率,完成进度
2026全业务目标,1113000000,733599708,65.9%,65.9%
2026永明业务目标,976100000,590922604,60.5%,60.5%

B. 顶部KPI汇总 | Top KPI Summary,,,,,
📌 批核(2025/2026):status=生效+issue_year；未批核:IN(尚欠/已签/pending/待批核)；待签:排期；流失(2026):流失+sign_year=2026,,,,,
指标行,件数,APE,年总保费(HKD),件均APE,融资占比
批核(2025),1645,616841099,885970240,374979,13.6%
批核(2026),1514,733599708,2493924673,484544,31.2%
未批核(跨年),191,91286016,320967078,477937,24.0%
待签(跨年),30,15409200,15549600,513640,0.0%
流失(2026),151,61241212,80651512,405571,10.1%

C. 月度业绩走势—按预约时间 | Monthly by Reservation Date,,,,,,
📌 res_ym；排除取消预约，保留所有其他状态；2025-01至最新月,,,,,,
预约年月,件数,APE,年总保费(HKD),件均APE,环比增长%,同比增长%
2025-01,69,22560613,23332813,326965,,
2025-02,119,38907760,87486160,326956,72.5%,
2025-03,114,34295208,34295208,300835,-11.9%,
2025-04,74,29108646,88568046,393360,-15.1%,
2025-05,136,45504949,46301684,334595,56.3%,
2025-06,436,178786707,203850318,410061,292.9%,
2025-07,88,41339770,105081370,469770,-76.9%,
2025-08,147,61380033,109116033,417551,48.5%,
2025-09,375,144649083,182113419,385731,135.7%,
2025-10,96,77582700,318869890,808153,-46.4%,
2025-11,232,181578033,1342876205,782664,134.0%,
2025-12,281,141333661,453254157,502967,-22.2%,
2026-01,132,53902782,110568222,408354,-61.9%,138.9%
2026-02,110,56367834,72513834,512435,4.6%,44.9%
2026-03,216,81478673,135325583,377216,44.5%,137.6%
2026-04,173,67372321,133808780,389435,-17.3%,131.5%
2026-05,223,80905291,143906281,362804,20.1%,77.8%
2026-06,231,84341475,139783610,365115,4.2%,-52.8%
2026-07,256,107460494,204139162,419768,27.4%,159.9%
2026-08,185,64910041,167226541,350865,-39.6%,5.8%
2026-09,56,26772605,48113405,478082,-58.8%,-81.5%

D. 月度业绩走势—按签单时间 | Monthly by Signing Date,,,,,,
📌 sign_ym；排除排期、取消预约，保留所有其他状态；2025-01至最新月,,,,,,
签单年月,件数,APE,年总保费(HKD),件均APE,环比增长%,同比增长%
2025-01,70,25095613,25867813,358509,,
2025-02,116,37816349,86394749,326003,50.7%,
2025-03,122,36049619,36049619,295489,-4.7%,
2025-04,64,21145859,48594059,330404,-41.3%,
2025-05,105,39550539,40347273,376672,87.0%,
2025-06,476,188679104,213742716,396385,377.1%,
2025-07,73,34340170,98081770,470413,-81.8%,
2025-08,153,66634250,114370250,435518,94.0%,
2025-09,367,145046039,173384375,395221,117.7%,
2025-10,106,77814089,328227279,734095,-46.4%,
2025-11,215,172329160,1272222760,801531,121.5%,
2025-12,301,147015562,477412347,488424,-14.7%,
2026-01,114,47898592,140472314,420163,-67.4%,90.9%
2026-02,121,61126234,77272234,505175,27.6%,61.6%
2026-03,212,82149259,143016169,387497,34.4%,127.9%
2026-04,162,62096461,128532919,383311,-24.4%,193.7%
2026-05,225,85175451,144666441,378558,37.2%,115.4%
2026-06,239,85694611,144646746,358555,0.6%,-54.6%
2026-07,250,101976433,140297840,407906,19.0%,197.0%
2026-08,198,71764461,232438221,362447,-29.6%,7.7%
2026-09,36,15684825,36885225,435690,-78.1%,-89.2%

E. 月度业绩走势—按批核时间 | Monthly by Issue Date,,,,,,
📌 issue_ym；status=生效；2025-01至最新月,,,,,,
批核年月,件数,APE,年总保费(HKD),件均APE,环比增长%,同比增长%
2025-01,120,41402628,41472828,345022,,
2025-02,67,21652059,22354059,323165,-47.7%,
2025-03,116,35513884,49553884,306154,64.0%,
2025-04,88,27540230,93738830,312957,-22.5%,
2025-05,70,28622463,33887463,408892,3.9%,
2025-06,166,77238089,100218024,465290,169.9%,
2025-07,273,102660084,151234531,376044,32.9%,
2025-08,103,44929512,46074881,436209,-56.2%,
2025-09,135,61434790,118858390,455073,36.7%,
2025-10,268,93420117,107708575,348583,52.1%,
2025-11,118,38745746,77187278,328354,-58.5%,
2025-12,121,43681497,43681497,361004,12.7%,
2026-01,203,116781479,171839269,575278,167.3%,182.1%
2026-02,180,143730290,892315915,798502,23.1%,563.8%
2026-03,143,85756139,543716369,599693,-40.3%,141.5%
2026-04,192,91151383,307893883,474747,6.3%,231.0%
2026-05,163,72813178,244619837,446707,-20.1%,154.4%
2026-06,171,61896544,96406864,361968,-15.0%,-19.9%
2026-07,208,68126343,108641922,327530,10.1%,-33.6%
2026-08,206,74136655,109142517,359887,8.8%,65.0%
2026-09,48,19207697,19348097,400160,-74.1%,-68.7%

F. 保单状态分布-2026 | Policy Status Distribution,,,,,,,
📌 10个保单状态；批核(2026)=生效+issue_year=2026；流失按sign_year=2026,,,,,,,
保单状态,统计说明,件数,APE,年总保费(HKD),件数占比,APE占比,年总保费占比
A.批核(2026),status=生效+issue_year=2026,1514,733599708,2493924673,80.3%,81.4%,85.7%
B.排期,status=排期,30,15409200,15549600,1.6%,1.7%,0.5%
C.已签单,status=已签单,3,4340000,25400000,0.2%,0.5%,0.9%
D.待批核,status=待批核,33,9716664,37796664,1.7%,1.1%,1.3%
E.pending,status=pending,32,13543198,65442760,1.7%,1.5%,2.2%
F.尚欠保费,status=尚欠保费,123,63686155,192327655,6.5%,7.1%,6.6%
G.失效,失效+sign_year=2026,0,0,0,0.0%,0.0%,0.0%
H.退保,退保+sign_year=2026,18,4609487,4609487,1.0%,0.5%,0.2%
I.取消投保,取消投保+sign_year=2026,132,56414729,75825029,7.0%,6.3%,2.6%
J.搁置受保,搁置受保+sign_year=2026,1,216996,216996,0.1%,0.0%,0.0%
合计,,1886,901536136,2911092863,100.0%,100.0%,100.0%

G. 业务类型维度-2026 | Business Type Dimension,,,,,,,,
📌 business_category；2026批核=生效+issue_year=2026；未批核/待签跨年,,,,,,,,
业务类型,2026批核APE,批核件数,未批核APE,未批核件数,待签APE,待签件数,合计APE,合计件数
代理人业务,87389945,272,6358075,18,1326000,8,95074020,298
经代业务,620771447,1196,78612185,167,14083200,22,713466832,1385
