A. 业务细分年度汇总—全业务,,,,,,,,,,
📌 segment_code(8个); 2026批核=生效+issue_year=2026; 合计行达成率=合计批核APE÷合计目标APE,,,,,,,,,,
业务细分,目标APE,达成率,2026批核APE,批核件数,未批核APE,未批核件数,待签APE,待签件数,合计APE,合计件数
天领业务,193000000,40.8%,78831797,232,4954075,15,1326000,8,85111872,255
成事家办,70000000,12.2%,8558148,40,1404000,3,0,0,9962148,43
BK业务,200000000,124.2%,248322615,227,30810000,29,7800000,5,286932615,261
同行经代,160000000,122.5%,196049112,481,34876616,101,4485600,11,235411328,593
永明经代,340000000,51.9%,176399720,488,12925569,37,1797600,6,191122889,531
合伙转介业务,73000000,6.3%,4565504,33,4315756,5,0,0,8881260,38
ICLUB业务,52000000,40.1%,20872812,13,2000000,1,0,0,22872812,14
IFA业务,25000000,0.0%,0,0,0,0,0,0,0,0
合计,1113000000,65.9%,733599708,1514,91286016,191,15409200,30,840294924,1735

B. 业务细分年度汇总—永明,,,,,,,,,,
📌 同A区 + carrier=香港永明金融有限公司,,,,,,,,,,
业务细分,目标APE,达成率,2026批核APE,批核件数,未批核APE,未批核件数,待签APE,待签件数,合计APE,合计件数
天领业务,135100000,41.6%,56244484,183,4681075,13,1326000,8,62251559,204
成事家办,56000000,12.3%,6887148,35,1404000,3,0,0,8291148,38
BK业务,200000000,123.9%,247862415,225,30030000,28,7800000,5,285692415,258
同行经代,140000000,70.3%,98391723,282,15318439,42,3081600,4,116791762,328
永明经代,340000000,51.9%,176399720,488,12925569,37,1797600,6,191122889,531
合伙转介业务,51100000,8.0%,4064302,22,4315756,5,0,0,8380058,27
ICLUB业务,36400000,2.9%,1072812,8,0,0,0,0,1072812,8
IFA业务,17500000,0.0%,0,0,0,0,0,0,0,0
合计,976100000,60.5%,590922604,1243,68674839,128,14005200,23,673602643,1394

C-APE. 月度预约业绩—全业务 (APE),,,,,,,,,,,
📌 res_ym；排除流失类,,,,,,,,,,,
业务细分,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,合计
天领业务,6673951,9730508,13116825,8657124,19773305,5926771,9557415,3542425,2295959,0,79274283
成事家办,1023000,390000,312000,2631479,1533000,819000,268460,1973400,0,0,8950339
BK业务,13862160,5803200,14040000,7332000,6864000,8884200,19890000,18599295,10140000,0,105414855
同行经代,6176316,4921200,15238512,22496397,23049657,32925218,52991903,27688135,8534550,0,194021888
永明经代,17009555,16059669,23888220,15677534,18513930,22664073,14525224,12033949,3802095,0,144174249
合伙转介业务,436800,79800,1963946,420091,44748,4075720,263603,355157,0,0,7639865
ICLUB业务,2390000,12109200,1818813,4000000,8798,0,0,468000,2000000,0,22794811
IFA业务,0,0,0,0,0,0,0,0,0,0,0
合计,47571782,49093577,70378316,61214625,69787438,75294982,97496605,64660361,26772604,0,562270290

C-件数. 月度预约业绩—全业务 (件数),,,,,,,,,,,
📌 res_ym；排除流失类,,,,,,,,,,,
业务细分,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,合计
天领业务,25,15,29,28,52,26,23,19,10,0,227
成事家办,6,1,2,14,5,4,2,7,0,0,41
BK业务,17,7,20,12,10,16,24,20,7,0,133
同行经代,15,15,49,59,80,86,139,94,21,0,558
永明经代,53,47,73,35,44,71,51,37,17,0,428
合伙转介业务,2,1,9,3,2,5,5,4,0,0,31
ICLUB业务,2,4,2,1,1,0,0,2,1,0,13
IFA业务,0,0,0,0,0,0,0,0,0,0,0
合计,120,90,184,152,194,208,244,183,56,0,1431

D-APE. 月度签单业绩—全业务 (APE),,,,,,,,,,,
📌 sign_ym；排除排期及流失,,,,,,,,,,,
业务细分,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,合计
天领业务,4957951,11212508,12130125,9698424,19264761,5990715,8972415,4509900,1211484,0,77948283
成事家办,1023000,390000,312000,1893479,2271000,819000,268460,1973400,0,0,8950339
BK业务,17138160,6817200,12480000,8502000,6864000,10054200,13650000,21840000,5339295,0,102684855
同行经代,2588316,7495200,15628512,21779057,22421197,32492324,53355257,29426875,4505550,0,189692288
永明经代,13744355,15183069,26732520,14796900,19156965,23586573,13754524,13175449,2394495,0,142524850
合伙转介业务,89809,436800,2043746,420091,44748,4075720,263603,121157,234000,0,7729674
ICLUB业务,2390000,12109200,1800000,18813,4008798,0,0,468000,2000000,0,22794811
IFA业务,0,0,0,0,0,0,0,0,0,0,0
合计,41931591,53643977,71126903,57108764,74031469,77018532,90264259,71514781,15684824,0,552325100

D-件数. 月度签单业绩—全业务 (件数),,,,,,,,,,,
📌 sign_ym；排除排期及流失,,,,,,,,,,,
业务细分,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,合计
天领业务,23,16,27,29,44,34,19,22,5,0,219
成事家办,6,1,2,8,11,4,2,7,0,0,41
BK业务,16,9,16,14,10,19,21,22,3,0,130
同行经代,13,16,49,57,79,83,140,98,13,0,548
永明经代,43,51,76,31,47,72,48,42,13,0,423
合伙转介业务,1,2,10,3,2,5,5,3,1,0,32
ICLUB业务,2,4,1,1,2,0,0,2,1,0,13
IFA业务,0,0,0,0,0,0,0,0,0,0,0
合计,104,99,181,143,195,217,235,196,36,0,1406

E-APE. 月度批核业绩—全业务 (APE),,,,,,,,,,,
📌 issue_ym；仅生效,,,,,,,,,,,
业务细分,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,合计
天领业务,6761792,10518447,6294167,16601975,6022561,17112774,6851856,7951612,716609,0,78831793
成事家办,1344687,390000,468000,1692600,2607000,477000,975000,112460,491400,0,8558147
BK业务,18259800,93940080,58699680,27222000,21703560,6240000,7228260,10469940,4559295,0,248322615
同行经代,41794437,5672311,5928994,15044168,25229007,25593843,28288549,40394407,8103393,0,196049109
永明经代,45962575,20312450,13530549,28835640,10849140,12472925,24384220,14949217,5103000,0,176399716
合伙转介业务,580185,897000,335546,1755000,574297,0,398455,25017,0,0,4565500
ICLUB业务,2078000,12000000,499200,0,5827612,0,0,234000,234000,0,20872812
IFA业务,0,0,0,0,0,0,0,0,0,0,0
合计,116781476,143730288,85756136,91151383,72813177,61896542,68126340,74136653,19207697,0,733599692

E-件数. 月度批核业绩—全业务 (件数),,,,,,,,,,,
📌 issue_ym；仅生效,,,,,,,,,,,
业务细分,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,合计
天领业务,29,27,15,36,37,38,24,21,5,0,232
成事家办,5,2,2,6,14,2,4,2,3,0,40
BK业务,25,67,42,30,16,13,12,18,4,0,227
同行经代,36,15,22,48,59,78,93,105,25,0,481
永明经代,101,65,53,67,29,40,66,57,10,0,488
合伙转介业务,5,2,6,5,4,0,9,2,0,0,33
ICLUB业务,2,2,3,0,4,0,0,1,1,0,13
IFA业务,0,0,0,0,0,0,0,0,0,0,0
合计,203,180,143,192,163,171,208,206,48,0,1514

F-APE. 月度预约业绩—永明 (APE),,,,,,,,,,,
📌 res_ym；排除流失类 + carrier=香港永明金融有限公司,,,,,,,,,,,
业务细分,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,合计
天领业务,3441539,1730508,11825658,7423124,17439389,5692771,4183015,3269425,2281350,0,57286779
成事家办,1023000,390000,312000,1428479,1143000,741000,268460,1973400,0,0,7279339
BK业务,13862160,5803200,14040000,7332000,6084000,8424000,19890000,18599295,10140000,0,104174655
同行经代,6156004,3985200,13537207,13838872,14478547,17699633,16625935,12424972,3799950,0,102546320
永明经代,17009555,16059669,23888220,15677534,18513930,22664073,14525224,12033949,3802095,0,144174249
合伙转介业务,436800,79800,1755000,420091,44748,4056000,1988,355157,0,0,7149584
ICLUB业务,390000,109200,18813,0,8798,0,0,468000,0,0,994811
IFA业务,0,0,0,0,0,0,0,0,0,0,0
合计,42319058,28157577,65376898,46120100,57712412,59277477,55494622,49124198,20023395,0,423605737

F-件数. 月度预约业绩—永明 (件数),,,,,,,,,,,
📌 res_ym；排除流失类 + carrier=香港永明金融有限公司,,,,,,,,,,,
业务细分,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,合计
天领业务,16,11,24,22,41,25,16,17,9,0,181
成事家办,6,1,2,11,4,3,2,7,0,0,36
BK业务,17,7,20,12,9,14,24,20,7,0,130
同行经代,14,12,39,38,50,45,47,42,8,0,295
永明经代,53,47,73,35,44,71,51,37,17,0,428
合伙转介业务,2,1,5,3,2,3,1,4,0,0,21
ICLUB业务,1,2,1,0,1,0,0,2,0,0,7
IFA业务,0,0,0,0,0,0,0,0,0,0,0
合计,109,81,164,121,151,161,141,129,41,0,1098

G-APE. 月度签单业绩—永明 (APE),,,,,,,,,,,
📌 sign_ym；排除排期及流失 + carrier=香港永明金融有限公司,,,,,,,,,,,
业务细分,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,合计
天领业务,1725539,3212508,10838958,8464424,16930845,5756715,3793015,4041900,1196875,0,55960779
成事家办,1023000,390000,312000,690479,1881000,741000,268460,1973400,0,0,7279339
BK业务,17138160,6817200,12480000,8502000,6084000,9594000,13650000,21840000,5339295,0,101444655
同行经代,2568004,6559200,13927207,14121532,13825087,17578739,16141429,14009572,889950,0,99620720
永明经代,13744355,15183069,26732520,14796900,19156965,23586573,13754524,13175449,2394495,0,142524850
合伙转介业务,89809,436800,1834800,420091,44748,4056000,1988,121157,234000,0,7239393
ICLUB业务,390000,109200,0,18813,8798,0,0,468000,0,0,994811
IFA业务,0,0,0,0,0,0,0,0,0,0,0
合计,36678867,32707977,66125485,47014239,57931443,61313027,47609416,55629478,10054615,0,415064547

G-件数. 月度签单业绩—永明 (件数),,,,,,,,,,,
📌 sign_ym；排除排期及流失 + carrier=香港永明金融有限公司,,,,,,,,,,,
业务细分,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,合计
天领业务,14,12,22,23,33,33,13,19,4,0,173
成事家办,6,1,2,5,10,3,2,7,0,0,36
BK业务,16,9,16,14,9,17,21,22,3,0,127
同行经代,12,13,39,37,50,44,46,45,6,0,292
永明经代,43,51,76,31,47,72,48,42,13,0,423
合伙转介业务,1,2,6,3,2,3,1,3,1,0,22
ICLUB业务,1,2,0,1,1,0,0,2,0,0,7
IFA业务,0,0,0,0,0,0,0,0,0,0,0
合计,93,90,161,114,152,172,131,140,27,0,1080

H-APE. 月度批核业绩—永明 (APE),,,,,,,,,,,
📌 issue_ym；仅生效 + carrier=香港永明金融有限公司,,,,,,,,,,,
业务细分,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,合计
天领业务,5315778,2871047,3276000,14356169,5302878,15264541,4822856,4333212,702000,0,56244481
成事家办,1344687,390000,468000,912600,1794000,399000,975000,112460,491400,0,6887147
BK业务,18259800,93940080,58699680,27222000,21703560,6240000,7020000,10218000,4559295,0,247862415
同行经代,14650438,5652000,4431004,12814772,16599278,13961463,10445818,16760654,3076293,0,98391720
永明经代,45962575,20312450,13530549,28835640,10849140,12472925,24384220,14949217,5103000,0,176399716
合伙转介业务,569265,897000,126600,1755000,574297,0,124736,17401,0,0,4064299
ICLUB业务,78000,0,499200,0,27612,0,0,234000,234000,0,1072812
IFA业务,0,0,0,0,0,0,0,0,0,0,0
合计,86180543,124062577,81031033,85896181,56850765,48337929,47772630,46624944,14165988,0,590922590

H-件数. 月度批核业绩—永明 (件数),,,,,,,,,,,
📌 issue_ym；仅生效 + carrier=香港永明金融有限公司,,,,,,,,,,,
业务细分,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,合计
天领业务,23,19,11,31,28,31,19,17,4,0,183
成事家办,5,2,2,5,11,1,4,2,3,0,35
BK业务,25,67,42,30,16,13,11,17,4,0,225
同行经代,34,14,15,41,39,44,38,47,10,0,282
永明经代,101,65,53,67,29,40,66,57,10,0,488
合伙转介业务,4,2,2,5,4,0,4,1,0,0,22
ICLUB业务,1,0,3,0,2,0,0,1,1,0,8
IFA业务,0,0,0,0,0,0,0,0,0,0,0
合计,193,169,128,179,129,129,142,142,32,0,1243

I. KEY ACCOUNT 排名 TOP20 | KA Ranking,,,,,,,,,,
📌 2026批核APE降序TOP20；含未批核/待签/合计列；含合计行,,,,,,,,,,
排名,KEY ACCOUNT,业务细分,2026批核APE,批核件数,未批核APE,未批核件数,待签APE,待签件数,合计APE,合计件数
1,民生银行,BK业务,200151960,195,4290000,6,0,0,204441960,201
2,天誉国际(MGA),同行经代,62593079,192,19558178,59,1404000,7,83555256,258
3,天誉国际,同行经代,56737320,136,11155644,23,0,0,67892964,159
4,唯思,同行经代,48853964,143,4003893,17,3081600,4,55939457,164
5,平安银行,BK业务,48170655,32,25740000,22,7800000,5,81710655,59
6,紫荆保险,永明经代,39336947,114,2691000,4,0,0,42027947,118
7,天领重庆,天领业务,34532049,128,1235875,6,78000,1,35845924,135
8,堡盛国际,永明经代,29014000,78,285000,1,0,0,29299000,79
9,万森保险,永明经代,28687064,88,2753595,8,468000,2,31908659,98
10,利泰丰,同行经代,27864749,10,158902,2,0,0,28023651,12
11,企鹅保险,永明经代,21769140,79,353956,2,0,0,22123096,81
12,个人转介,ICLUB业务,18994812,11,2000000,1,0,0,20994812,12
13,天领深圳,天领业务,16945500,11,1170000,2,0,0,18115500,13
14,中天家办,永明经代,15192019,37,1795908,9,432600,2,17420527,48
15,天领成都,天领业务,14840348,45,676200,5,780000,4,16296548,54
16,宏鑫资产,永明经代,12480000,3,0,0,0,0,12480000,3
17,万城保险,永明经代,10626300,18,2059843,5,0,0,12686143,23
18,臻略财富,永明经代,6521460,28,2974500,7,0,0,9495960,35
19,宁波贴牌,天领业务,3939000,9,1833000,1,0,0,5772000,10
20,武汉贴牌,天领业务,3492497,11,0,0,0,0,3492497,11
合计,,,700742863,1368,84735494,180,14044200,25,799522557,1573

J. 同行推荐人分析 | Peer Referral Analysis,,,,,,,,
📌 6人：战略合作/Mark/姜通/高瑶/白博文/魏子璐；按2026批核APE降序,,,,,,,,
推荐人,2026批核APE,批核件数,未批核APE,未批核件数,待签APE,待签件数,总APE,总件数
姜通,183815654,511,33412621,90,2184000,8,219412274,609
战略合作,48853964,143,4003893,17,3081600,4,55939457,164
高瑶,28868144,90,2753595,8,468000,2,32089739,100
白博文,22785880,72,4770408,16,432600,2,27988888,90
Mark,13278000,4,0,0,0,0,13278000,4
魏子璐,1880455,6,0,0,0,0,1880455,6
合计,299482097,826,44940517,131,6166200,16,350588813,973

K. 同行业绩分析 | Peer Channel Analysis,,,,,,,,
📌 segment IN(永明经代，同行经代)；按2026批核APE降序,,,,,,,,
KEY ACCOUNT,2026批核APE,批核件数,未批核APE,未批核件数,待签APE,待签件数,总APE,总件数
天誉国际(MGA),62593079,192,19558178,59,1404000,7,83555256,258
天誉国际,56737320,136,11155644,23,0,0,67892964,159
唯思,48853964,143,4003893,17,3081600,4,55939457,164
紫荆保险,39336947,114,2691000,4,0,0,42027947,118
堡盛国际,29014000,78,285000,1,0,0,29299000,79
万森保险,28687064,88,2753595,8,468000,2,31908659,98
利泰丰,27864749,10,158902,2,0,0,28023651,12
企鹅保险,21769140,79,353956,2,0,0,22123096,81
中天家办,15192019,37,1795908,9,432600,2,17420527,48
宏鑫资产,12480000,3,0,0,0,0,12480000,3
万城保险,10626300,18,2059843,5,0,0,12686143,23
臻略财富,6521460,28,2974500,7,0,0,9495960,35
德方集团,2340000,6,0,0,0,0,2340000,6
龙腾财富,1992300,7,0,0,117000,1,2109300,8
晋誉财富,1880455,6,0,0,0,0,1880455,6
卓樾会,1647000,3,0,0,0,0,1647000,3
富仕德,1354738,5,11766,1,0,0,1366504,6
太富,798000,1,0,0,0,0,798000,1
裕承资产,765000,3,0,0,0,0,765000,3
巨蚁环球,702000,2,0,0,780000,1,1482000,3
动力势能,570000,1,0,0,0,0,570000,1
共享经纪,307401,4,0,0,0,0,307401,4
钜诚保险,181080,2,0,0,0,0,181080,2
众安国际,117000,1,0,0,0,0,117000,1
时代保险,78000,1,0,0,0,0,78000,1
香港宜达,39815,1,0,0,0,0,39815,1
合计,372448832,969,47802185,138,6283200,17,426534217,1124

L-APE. 月度预约业绩—同行 (APE),,,,,,,,,,,
📌 res_ym；排除流失类；⭐ 按该表自身合计APE降序,,,,,,,,,,,
KEY ACCOUNT,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,合计
天誉国际(MGA),0,936000,1701304,5657524,6971110,11925585,36365968,15263162,4734600,0,83555253
天誉国际,0,1774200,8903030,12321990,12298960,12413993,10526340,9520500,694950,0,68453963
唯思,6078004,2211000,4151600,4516882,3480823,8585640,6099595,2904472,3105000,0,41133016
紫荆保险,4164600,5474400,6353940,5405040,5958780,1661526,3003000,858000,156000,0,33035286
万森保险,1324555,5313000,5461740,2702100,2911069,4485000,2355000,1740000,803595,0,27096059
企鹅保险,3175500,3179100,3629940,1318500,798000,3992400,1248556,1758600,0,0,19100596
堡盛国际,5635900,546000,5181600,234000,2832000,4122300,519000,0,0,0,19070800
中天家办,0,411609,1311000,1599000,1758158,3010290,3549468,3627000,558000,0,15824525
万城保险,0,0,1170000,3639600,3511923,684052,1562700,1645843,585000,0,12799118
