A. 保险公司维度 | Carrier Dimension,,,,,,,
📌 sign_year=2026；status IN(生效/尚欠/已签/pending/待批核/排期)；全17家保司列出(零业务保留)；按APE降序,,,,,,,
保险公司,件数,APE,年总保费(HKD),件数占比,APE件均,年总保费件均,APE占比
永明,1095,426871905,919134172,76.7%,389837,839392,75.5%
安盛,174,68773496,68773496,12.2%,395250,395250,12.2%
澳门中国人寿,21,46700000,46700000,1.5%,2223810,2223810,8.3%
万通,33,8758177,8758177,2.3%,265399,265399,1.5%
立桥,54,6022250,60222497,3.8%,111523,1115231,1.1%
太平洋,25,4953041,9480941,1.8%,198122,379238,0.9%
宏利,3,1170000,1170000,0.2%,390000,390000,0.2%
永明金融有限公司(新加坡),2,460200,460200,0.1%,230100,230100,0.1%
中银人寿,2,410017,410017,0.1%,205008,205008,0.1%
友邦,11,392036,392036,0.8%,35640,35640,0.1%
微蓝保险有限公司,1,390000,3900000,0.1%,390000,3900000,0.1%
中国人寿,2,306000,306000,0.1%,153000,153000,0.1%
保诚,1,234000,234000,0.1%,234000,234000,0.0%
安达人寿保险有限公司,1,68000,68000,0.1%,68000,68000,0.0%
保柏（亚洲）有限公司,3,27336,27336,0.2%,9112,9112,0.0%
周大福,0,0,0,0.0%,0,0,0.0%
澳门太平,0,0,0,0.0%,0,0,0.0%
保柏,0,0,0,0.0%,0,0,0.0%
富卫,0,0,0,0.0%,0,0,0.0%
忠意,0,0,0,0.0%,0,0,0.0%
信诺,0,0,0,0.0%,0,0,0.0%
合计,1428,565536459,1120036873,100.0%,396034,784340,100.0%

B. 产品TOP20—年总保费 | Product TOP20 by Premium,,,,,,,
📌 ⭐ 联合主键=产品名称+年期+首年特殊折扣(SQ_rate)；sign_year=2026；status非流失；按年总保费降序,,,,,,,
排名,保司,产品名称,年期,首年折扣,件数,年总保费(HKD),年总保费(HKD)件均
1,永明,永誉传承储蓄计划,1.0,2.50%,26,354900000,13650000
2,永明,永誉传承储蓄计划,1.0,3.50%,12,147981600,12331800
3,永明,万年青·卓金保险计划II,5.0,20%,72,46675200,648267
4,永明,万年青·星河尊享保险计划II,2.0,8%,16,16626000,1039125
5,永明,万年青·星河尊享保险计划II,2.0,6%,32,15048660,470271
6,永明,万年青·星河尊享保险计划II,5.0,20%,8,11700000,1462500
7,永明,万年青·星河传承保险计划II,5.0,20%,3,9750000,3250000
8,永明,万年青·星河尊享保险计划II,5.0,15%,19,7821000,411632
9,永明,万年青·卓金保险计划II,5.0,59%,18,7800000,433333
10,立桥,智选储蓄保（20年保障期）,1.0,2%,1,7800000,7800000
11,永明,万年青·星河传承保险计划II,2.0,8%,2,6240000,3120000
12,澳门中国人寿,裕饶传承储蓄保险计划III,5.0,10%,3,5200000,1733333
13,永明,万年青·星河传承保险计划II,5.0,100%,10,5050500,505050
14,澳门中国人寿,裕饶传承储蓄保险计划III,5.0,20%,1,5000000,5000000
15,永明,万年青·卓金保险计划II,2.0,8%,3,4949295,1649765
16,永明,万年青·星河传承保险计划II,5.0,29.04%,1,3900000,3900000
17,安盛,盛利II储蓄保险-至尊,2.0,5%,2,3900000,1950000
18,永明,万年青·星河尊享保险计划II,2.0,4%,2,3354000,1677000
19,永明,万年青·星河传承保险计划II,5.0,35.04%,8,3276000,409500
20,澳门中国人寿,裕饶传承储蓄保险计划III,5.0,15%,1,2400000,2400000

C. 产品TOP20—APE | Product TOP20 by APE,,,,,,,
📌 ⭐ 联合主键同B区（产品名称+年期+首年特殊折扣）；按APE降序,,,,,,,
排名,保司,产品名称,年期,首年折扣,件数,APE,APE件均
1,永明,万年青·卓金保险计划II,5.0,20%,72,46675200,648267
2,永明,永誉传承储蓄计划,1.0,2.50%,26,35490000,1365000
3,永明,万年青·星河尊享保险计划II,2.0,8%,16,16626000,1039125
4,永明,万年青·星河尊享保险计划II,2.0,6%,32,15048660,470271
5,永明,永誉传承储蓄计划,1.0,3.50%,12,14798160,1233180
6,永明,万年青·星河尊享保险计划II,5.0,20%,8,11700000,1462500
7,永明,万年青·星河传承保险计划II,5.0,20%,3,9750000,3250000
8,永明,万年青·星河尊享保险计划II,5.0,15%,19,7821000,411632
9,永明,万年青·卓金保险计划II,5.0,59%,18,7800000,433333
10,永明,万年青·星河传承保险计划II,2.0,8%,2,6240000,3120000
11,澳门中国人寿,裕饶传承储蓄保险计划III,5.0,10%,3,5200000,1733333
12,永明,万年青·星河传承保险计划II,5.0,100%,10,5050500,505050
13,澳门中国人寿,裕饶传承储蓄保险计划III,5.0,20%,1,5000000,5000000
14,永明,万年青·卓金保险计划II,2.0,8%,3,4949295,1649765
15,安盛,盛利II储蓄保险-至尊,2.0,5%,2,3900000,1950000
16,永明,万年青·星河传承保险计划II,5.0,29.04%,1,3900000,3900000
17,永明,万年青·星河尊享保险计划II,2.0,4%,2,3354000,1677000
18,永明,万年青·星河传承保险计划II,5.0,35.04%,8,3276000,409500
19,澳门中国人寿,裕饶传承储蓄保险计划III,5.0,15%,1,2400000,2400000
20,永明,万年青·星河尊享保险计划II,5.0,10%,3,858000,286000

D. 年期分布 | Term Distribution,,,,,,
