KEY ACCOUNT,2026批核APE,批核件数,未批核APE,未批核件数,待签APE,待签件数,总APE,总件数
天领重庆,29662024.540000003,108,3393000.0,12,501415.2,5,33556439.74,125
天领深圳,16555500.0,10,390000.0,1,0.0,0,16945500.0,11
天领成都,10711647.66,41,4000000.0,2,0.0,0,14711647.66,43
宁波贴牌,3939000.0,9,3003000.0,3,0.0,0,6942000.0,12
广西贴牌,3324400.0,14,218400.0,2,0.0,0,3542800.0,16
武汉贴牌,2379000.0,7,489496.8,2,234000.0,1,3102496.8,10
合肥,390000.0,1,0.0,0,0.0,0,390000.0,1
苏州贴牌,273000.0,2,390000.0,1,0.0,0,663000.0,3
厦门贴牌,273000.0,5,78000.0,1,0.0,0,351000.0,6
台州,234000.0,2,0.0,0,0.0,0,234000.0,2
长沙贴牌,42003.0,1,0.0,0,0.0,0,42003.0,1
合计,67783575.2,200,11961896.8,24,735415.2,6,80480887.2,230
