KA,天领业务,成事家办,BK业务,同行经代,永明经代,合伙转介业务,ICLUB业务,IFA业务,合计
天誉国际(MGA),0.0,0.0,0.0,6236700.0,0.0,0.0,0.0,0.0,6236700.0
唯思,0.0,0.0,0.0,3352000.0,0.0,0.0,0.0,0.0,3352000.0
天誉国际,0.0,0.0,0.0,3203910.0,0.0,0.0,0.0,0.0,3203910.0
民生银行,0.0,0.0,1560000.0,0.0,0.0,0.0,0.0,0.0,1560000.0
万城保险,0.0,0.0,0.0,0.0,1443000.0,0.0,0.0,0.0,1443000.0
紫荆保险,0.0,0.0,0.0,0.0,1404000.0,0.0,0.0,0.0,1404000.0
平安银行,0.0,0.0,780000.0,0.0,0.0,0.0,0.0,0.0,780000.0
天领重庆,501415.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,501415.2
臻略财富,0.0,0.0,0.0,0.0,490200.0,0.0,0.0,0.0,490200.0
龙腾财富,0.0,0.0,0.0,0.0,390000.0,0.0,0.0,0.0,390000.0
企鹅保险,0.0,0.0,0.0,0.0,279556.2,0.0,0.0,0.0,279556.2
武汉贴牌,234000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234000.0
万森保险,0.0,0.0,0.0,0.0,156000.0,0.0,0.0,0.0,156000.0
总部职能,0.0,0.0,0.0,0.0,0.0,2367.0,0.0,0.0,2367.0
合计,735415.2,0.0,2340000.0,12792610.0,4162756.2,2367.0,0.0,0.0,20033148.4
