KEY ACCOUNT,2026批核APE,批核件数,未批核APE,未批核件数,待签APE,待签件数,总APE,总件数
天誉国际,44347079.86,96,10769328.0,26,3203910.0,8,58320317.86,130
唯思,39776549.96,123,6863035.28,14,3352000.0,5,49991585.24,142
紫荆保险,35490946.74000001,102,4965600.0,11,1404000.0,3,41860546.74000001,116
堡盛国际,28216600.0,75,1628400.0,5,0.0,0,29845000.0,80
利泰丰,27818456.319999997,9,1010724.0,4,0.0,0,28829180.319999997,13
万森保险,25918064.4,79,3018000.0,5,156000.0,1,29092064.4,85
天誉国际(MGA),22040525.740000002,91,39142184.84,91,6236700.0,19,67419410.58000001,201
企鹅保险,18857040.0,68,1520400.0,6,279556.2,3,20656996.2,77
宏鑫资产,12480000.0,3,0.0,0,0.0,0,12480000.0,3
中天家办,8454168.3,22,4935160.65,12,0.0,0,13389328.950000001,34
万城保险,8346600.0,12,1269052.2,5,1443000.0,2,11058652.2,19
臻略财富,4473060.0,15,1836600.0,4,490200.0,2,6799860.0,21
德方集团,2340000.0,6,0.0,0,0.0,0,2340000.0,6
晋誉财富,1880455.2,6,0.0,0,0.0,0,1880455.2,6
卓樾会,1647000.0,3,0.0,0,0.0,0,1647000.0,3
龙腾财富,1524300.0,5,78000.0,1,390000.0,1,1992300.0,7
富仕德,1159738.2,4,206766.3,2,0.0,0,1366504.5,6
太富,798000.0,1,0.0,0,0.0,0,798000.0,1
动力势能,570000.0,1,0.0,0,0.0,0,570000.0,1
巨蚁环球,390000.0,1,0.0,0,0.0,0,390000.0,1
共享经纪,284294.4,3,0.0,0,0.0,0,284294.4,3
钜诚保险,181080.0,2,0.0,0,0.0,0,181080.0,2
裕承资产,156000.0,1,570000.0,1,0.0,0,726000.0,2
众安国际,117000.0,1,0.0,0,0.0,0,117000.0,1
时代保险,78000.0,1,0.0,0,0.0,0,78000.0,1
香港宜达,39815.1,1,0.0,0,0.0,0,39815.1,1
合计,287384774.22,731,77813251.27000001,187,16955366.2,44,382153391.69,962
